Liked Songs	Artists	ID	ExCol
amnesia	VÉRITÉ	new skin	5HrIOT0hq6tA8EDpd0KC3Z
Midnight	Maxwell Young, Claire Cottrill	Daydreamer	6hswadYDq08p4qG3NfsNfJ
Chicago Is So Two Years Ago	Fall Out Boy	Take This to Your Grave	3P8zrkBArAfdjFJxPtZRUO
Johnny P's Caddy	Benny The Butcher, J. Cole	Johnny P's Caddy	6AshXllQhobwSXsdpgp41w
Sweet Dream Lullaby - Lullaby Version	Alessia Cara	Sweet Dream	2QrAzXwFKpwaaLv2GXQ7MH
Heard Em Say	Logic	No Pressure	6KASl3S3bdyrn8GxjlVimb
Redecorate	Twenty One Pilots	Scaled And Icy	2XPmTamsj7d9i3gzLCL4JI
Believer - Live/Acoustic	Imagine Dragons	Live At AllSaints Studios	3Eog0V6GCpABelD89PbUeB
Walk Away	Alle Farben, James Blunt	Walk Away	7a4aFs6bW7TUySQviVERSI
Outside (with Joey Bada$$)	WESTSIDE BOOGIE, Joey Bada$$	Outside (with Joey Bada$$)	1es7SpekMUeMAIlG4iEJKX
Look How Far We've Come	Imagine Dragons	It’s Time EP	0uB4bNmZDCSY6ieUdJyDPq
Feeling Ok	Best Coast	California Nights	0hgsUnkawqDllP4OF4g9MN
My Oh My (feat. DaBaby & Gunna) - Remix	Camila Cabello, Gunna, DaBaby	My Oh My (feat. DaBaby & Gunna) [Remix]	2ONOyrMhqho3oajY2tpC2n
Same Hurt	The Head And The Heart	Every Shade of Blue	3xB5Ij8ArICuDMolCsI1l9
Perfect	Nathan Pacheco, David Archuleta	Perfect	3IFxXQ2sFZ7YkvZiZvgDaK
coming of age	mxmtoon	coming of age	0bmBT74X61khNZckpm6qWi
I Ain't Worried	OneRepublic	I Ain’t Worried (Music From The Motion Picture "Top Gun: Maverick")	4h9wh7iOZ0GGn8QVp4RAOB
#1	Imagine Dragons	Mercury - Act 1	6z39NC4VSSweBHFg9kAoja
Find Someone	Sheppard	Find Someone	3jlgNyudq916xWD0k8aHmq
People Are Different	Florida Georgia Line	People Are Different	4f6Qi5EkTD7NDuZ6pF15h0
what would you do?	Tate McRae	what would you do?	3I1Smy5zhzNEc9grpjwY1s
Mirror	Kendrick Lamar	Mr. Morale & The Big Steppers	5LOiuvbH62YGtnwe6Ltt4T
Mother I Sober (feat. Beth Gibbons of Portishead)	Kendrick Lamar, Beth Gibbons	Mr. Morale & The Big Steppers	6NZOc8kO0Fxo0fLPvIdLnW
Mr. Morale	Kendrick Lamar, Tanna Leone	Mr. Morale & The Big Steppers	7zvfDihYiJ8RQ1nRcpKBF5
Auntie Diaries	Kendrick Lamar	Mr. Morale & The Big Steppers	19Fg3WrTfo35Ji3PtfZE6J
Savior	Kendrick Lamar, Baby Keem, Sam Dew	Mr. Morale & The Big Steppers	0YeUVm23SAkUruwEx9LWnt
Savior - Interlude	Kendrick Lamar	Mr. Morale & The Big Steppers	5PPUw4Xo3Hz6rl4GpBfd3c
Silent Hill	Kendrick Lamar, Kodak Black	Mr. Morale & The Big Steppers	3tYTyAt1q6BFBiGyYVOLhi
Crown	Kendrick Lamar	Mr. Morale & The Big Steppers	2IwbW2jd0Ncv99Aroe77Ru
Count Me Out	Kendrick Lamar	Mr. Morale & The Big Steppers	7pj6P5WnxkZsw3XRc8eMe1
Purple Hearts	Kendrick Lamar, Summer Walker, Ghostface Killah	Mr. Morale & The Big Steppers	401160izncPtca3CmX3dvM
Rich Spirit	Kendrick Lamar	Mr. Morale & The Big Steppers	6kYGOFNUMxpab09L5Ukoke
Rich - Interlude	Kendrick Lamar	Mr. Morale & The Big Steppers	2Az5ykbQiZtFWtACCMvWlP
Father Time (feat. Sampha)	Kendrick Lamar, Sampha	Mr. Morale & The Big Steppers	4xIhSUJantE6BMl3u8dtCJ
Die Hard	Kendrick Lamar, Blxst, Amanda Reifer	Mr. Morale & The Big Steppers	6gI9b2VsoWhjhIuIeToDVs
Worldwide Steppers	Kendrick Lamar	Mr. Morale & The Big Steppers	5p56JT5F9a1z9pwXnqTg7d
N95	Kendrick Lamar	Mr. Morale & The Big Steppers	2FeBslNBMdR9V58uv6hd2t
United In Grief	Kendrick Lamar	Mr. Morale & The Big Steppers	05zd5Nv0e02ZqrlC8A2cwx
hustler	blackbear	help	78mbcQO7K8jlMfJS4zpaiJ
PMA (feat. Pale Waves)	All Time Low, Pale Waves	PMA (feat. Pale Waves)	52BHuLFKoBemaQ1oOPFhFZ
Shaolin Vs. Wutang	Raekwon	Shaolin Vs. Wu-tang	32d3SSAMtpouiGlaRrhBPl
Rise Up - Acoustic Version	Thomas Jack, Jasmine Thompson	Rise Up (Acoustic Version)	2UKHSicfUM6YjBXfj9qycr
I Know You (feat. Bastille) - Canto Remix	Craig David, Bastille, Canto	I Know You (Remixes) (feat. Bastille)	79BoVeq4Quj0lTDLn66r3a
get me started (feat. syd)	Kehlani, Syd	blue water road	0jeCoIGrGhw8lnkd5YF0qB
Easy Come Easy Go	Imagine Dragons	Mercury - Act 1	3wWXNV94Ys2vQcFxgnWkut
Hell Yeah (feat. Vince Staples)	Rag'n'Bone Man, Vince Staples	Wolves	2SWWWu4jTeuL8oHIOhSc5W
Dead Presidents lll	Logic	YS Collection Vol. 1	3iVFBmRZtDXdp8tFGpK0Et
Paint the Town Green - Acoustic	The Script	Acoustic Sessions 3	0dTDwFgiU2p8reqF6y4BW6
Kinfolks	Sam Hunt	SOUTHSIDE	52lGuLAkIVbm4LZkSf9nj0
Dead & Over	RILEY, blackbear	LOSS ANGELES	4wp4s0Mm5xMyuAFda0GPxf
Fade Away	Susanne Sundfør	Ten Love Songs	0IWBaEf7GOwKPKHyC32E1z
The Wrong Song	mxmtoon	Mixtape (Soundtrack from the Netflix Film)	5gdTA1JKj2glGayFvSBDOF
Enough for Now (feat. Phoebe Bridgers)	Ethan Gruska, Phoebe Bridgers	Enough for Now (feat. Phoebe Bridgers)	2xnS2wpPCtZPvylO6eWykP
Between Me And You	Brandon Flowers	The Desired Effect	7GnMWJuFa95mtLx9qtSuKK
Satellites	Jason Wade	Paper Cuts	4yNl40bY3XdlmKnIw2bj3Z
Ocean Avenue Yellowcard Soundcheck - Acoustic	Yellowcard	Ocean Avenue (Live)	6aw8qjJvd6vQgO6HvPLdgl
