Queued Songs	Artists	ID	ExCol
Know It All	Hoodie Allen	The Hype	spotify:track:6Cywxr0WAETAZeRXAQlBzr
Never Going Back	Hoodie Allen	Never Going Back	spotify:track:1RVwAj0VX2LHPfHERNvI95
Sushi	Hoodie Allen	Sushi	spotify:track:2ZWM4FFP58Z9SuhJFfRcfA
Wasting All My Time	Hoodie Allen	Wasting All My Time	spotify:track:3308ikYv0eAJVemmEMFy6T
Whatever USA	Hoodie Allen	Whatever USA	spotify:track:06s1TISabJ5Kk1gaE8i9GJ
All Hands On Deck REMIX (feat. DeJ Loaf)	Tinashe, DeJ Loaf	All Hands On Deck REMIX (feat. DeJ Loaf)	spotify:track:13HaC6c7vib80liqQQLcQ0
We Winnin'	DeJ Loaf	#AndSeeThatsTheThing	spotify:track:4mOzCl91PC3VqkiPjerm5d
We Do This Shit	MOD SUN, DeJ Loaf	We Do This Shit	spotify:track:7veelqmMi7hbJT0BuMnFCN
Step Up (feat. Dej Loaf & Sha Sha)	The Game, DeJ Loaf, ShaSha	The Documentary 2	spotify:track:5AYrKrQ7QkinCYcE7FcZhH
Ride It (feat. DeJ Loaf)	Tink, DeJ Loaf	Voicemails	spotify:track:3SJaqRuxMKXVK2V5MMzhJ0
No Fear	DeJ Loaf	No Fear	spotify:track:2H881m3JRA8lpuuwaQL6zy
No Ceiling (feat. Gunna)	DeJ Loaf, Gunna	No Ceiling (feat. Gunna)	spotify:track:0xbmbJG6VBshvfBj0rU7CC
Big Keys	DeJ Loaf	'Go DeJ Go' Vol.1	spotify:track:6SiHNIg73KyK4M7xg7vjdD
Big Ole Boss	DeJ Loaf	Big Ole Boss	spotify:track:2oOHqtmFGfHQ5BrpiCrsok
Bubbly	DeJ Loaf	Bubbly	spotify:track:22fnQo7GLVeaI0XhQOzpN0
Dreams	DaBoyDame, Yo Gotti, G-Eazy, DeJ Loaf	Dreams	spotify:track:5BHQm25dzv0h8mnLmmqsLz
Better With You	3LAU, Justin Caruso, Iselin	Better With You	spotify:track:3D37T7euWvVJ45evRmriIh
Down For Life	3LAU, Bright Lights	Down For Life	spotify:track:5Vs0WK8ifWfEv5iAuC3ted
Fire	3LAU, Said The Sky, NÉONHÈART	Fire	spotify:track:3TcAHa91Y6t167Q43sKHrq
Is It Love	3LAU, Yeah Boy	Is It Love	spotify:track:2ig0x2zNvcOugS1Z0YCnHb
Tokyo (feat. XIRA)	3LAU, XIRA	Tokyo (feat. XIRA)	spotify:track:1QCVN7PEJ0dMiIDOG6ZJUf
