Queued Songs	Artists	ID	ExCol
Wonderwall	TEEMID	Wonderwall	spotify:track:4sigEqg7SMeZsn8haXoloU
Strangers	Kazlo, Viiq	Strangers	spotify:track:37BLuetTPbJ6ub0l4kXt6F
Transcendence - Original Mix	Matt Black, Paul Hawcroft	E=MC2 Volume 1 (DJ Edition)	spotify:track:1ijKexPpM2Xpt1wx3eetRb
Transcendence - Radio Edit	Matt Black, Paul Hawcroft	E=MC2 Volume 1 (Edits)	spotify:track:0sMGYBwcA4I3yC2pSrb3Ck
tears in the club (feat. the weeknd)	FKA twigs, The Weeknd	CAPRISONGS	spotify:track:1GsSM1Fju5J1Fsu51jEsTg
Met Him Last Night	Demi Lovato, Ariana Grande	Met Him Last Night	spotify:track:71NBvIYtWygMmp7XgQXbvz
Brand New You (feat. Brynn Williams & Caitlin Gann)	Ariana Grande, Brynn Williams, Caitlin Gann	Brand New You (From "13")	spotify:track:1magKwGDsyU3RGjpo0BfPe
A Little More Homework (feat. Graham Phillips) - Single Version	Ariana Grande, Graham Phillips	Brand New You (From "13")	spotify:track:5RNKIGhRllNHGjroVDPXat
A Hand For Mrs. Claus	Idina Menzel, Ariana Grande	A Hand For Mrs. Claus	spotify:track:51WKo14W3ePwu4bvn8bBLF
Bang Bang - Dada Life Remix	Jessie J, Ariana Grande, Nicki Minaj, Dada Life	Bang Bang (Remixes)	spotify:track:29kGXAiD6JiuzXpme5cXLU
Bang Bang - Kat Krazy Remix	Jessie J, Ariana Grande, Nicki Minaj, Kat Krazy	Bang Bang (Remixes)	spotify:track:3wmzSwXcZw3D93kqWeFp9H
Bang Bang - 3LAU Remix	Jessie J, Ariana Grande, Nicki Minaj, 3LAU	Bang Bang (Remixes)	spotify:track:4kXDTeaXTJGRlyGQ15fhvA
Bang Bang - Imanos & Gramercy Remix	Jessie J, Ariana Grande, Nicki Minaj, Imanos, Gramercy	Bang Bang (Remixes)	spotify:track:1z3Q0Vv26kdsSc8KshjNWX
Bang Bang - Super Stylers Remix	Jessie J, Ariana Grande, Nicki Minaj, Superstylers	Bang Bang (Remixes)	spotify:track:2ZXwop8iShW8kkQwlReYu1
roll the windows up	Machine Gun Kelly	lockdown sessions	spotify:track:4C8BE3t81w312DkR750OnL
pretty toxic revolver	Machine Gun Kelly	lockdown sessions	spotify:track:28SCx38ziqfg3wwhnhFmvZ
in these walls (my house) (feat. PVRIS)	Machine Gun Kelly, PVRIS	lockdown sessions	spotify:track:70R3yxMofIQpUmLUFIzA6J
Call You Home	Jimsta, Kelvin Jones	Call You Home	spotify:track:62IEu7olPn17F9NSpiPGuE
Cry A Little Less	Kelvin Jones	Cry A Little Less	spotify:track:4MHvcSxszDj4jhcHRNY2Lo
Diving	Evangelia, Kelvin Jones	Diving	spotify:track:6X7O1o1SFnOyAnl2m80QVo
Everybody's Talkin'	Kelvin Jones	Everybody's Talkin'	spotify:track:3XtdnKrmRqRnXoQpL986Dq
Friends	Kelvin Jones	Friends	spotify:track:3BjDibe3XuOd33aYgEGzpR
Lights On	Kelvin Jones	Lights On	spotify:track:6jlN2JVlMlaKdWo7EyHpOS
Love To Go	Lost Frequencies, Zonderling, Kelvin Jones	Love To Go (Remixes)	spotify:track:3t9B6lfFScibZPO7YS1dg5
Rooftop	Nico Santos, Kool Savas, Kelvin Jones	Nico Santos	spotify:track:44EqJpzLtG5hh1K28mtuNd
Line 'Em Up (Remix)	Forsyth, Dave East, Raddix	Line 'Em Up (Remix)	spotify:track:0GDuZAi5eCsaoIO95e7hrv
Run Up - Afrosmash Remix	Major Lazer, PARTYNEXTDOOR, Nicki Minaj, Yung L, Skales, Chopstix	Run Up (Remixes)	spotify:track:1Z4mU85p8mg7cLqdWxooXk
Run Up - Sak Noel, Salvi & Arpa Remix	Major Lazer, PARTYNEXTDOOR, Nicki Minaj, Konshens, Sak Noel, Salvi, Arpa	Run Up (Remixes)	spotify:track:4qjsKUm0r8TmaZifRiBGEX
Run Up - Sub Focus Remix	Major Lazer, PARTYNEXTDOOR, Nicki Minaj, Sub Focus	Run Up (Remixes)	spotify:track:5MhiH2AVJ4iq6HGRX6Ml4T
Run Up - Big Fish Remix	Major Lazer, PARTYNEXTDOOR, Nicki Minaj, Big Fish	Run Up (Remixes)	spotify:track:70T6Nb5F8WqXUd8FyGOAfa
Faded (Acoustic)	Alex Goot, Kurt Hugo Schneider, RUNAGROUND	Faded (Acoustic)	spotify:track:0Lgqr0tj6UAIC023TeLeaQ
Half A Bird	G Perico, Dave East	Half A Bird	spotify:track:7zCgLfeoQqSMcRD1yCy2f2
The God Hour	A$AP ANT, A$AP Rocky	The God Hour	spotify:track:0JEefF2thwTsgWE2Wv0IsC
Heart So Big	Matoma, A R I Z O N A	Heart So Big	spotify:track:6jOfKvLoIdKu7UARpK2sMw
Vengeance	Nyck Caution, Boldy James, Charlie Heat	Vengeance	spotify:track:02rDTNjOl6voAmfx6dwu7J
Dirty - Radio Edit	The Future Kingz, Hopsin	Dirty (Radio Edit)	spotify:track:1ncqctstKlUMnxLGhj9tAB
When You're Gone	Shawn Mendes	When You're Gone	spotify:track:0U1W2LZVUX7qTm7dDpqxh6
Stereotype	Cole Swindell	Stereotype	spotify:track:6N4iblHDsHG4jOdgjohRV5
Everytime	Sundara Karma	Oblivion!	spotify:track:7KvmxwYZ76UIauFy8jvRIT
Follow	Martin Garrix, Zedd	Follow	spotify:track:5aXTfpNOqLj35ydEiLio67
King To A God	PRO ERA	King To a God	spotify:track:4vtohpLhudwQh5q1ESJZ45
love race (feat. Kellin Quinn)	Machine Gun Kelly, Kellin Quinn	love race (feat. Kellin Quinn)	spotify:track:1F9kEuwT29fgqlovIclu81
Alice In Wonderland	Machine Gun Kelly	Alice In Wonderland	spotify:track:4ul1kVaqa03wx736X3z0D7
Wild Boy - Remix	Machine Gun Kelly, 2 Chainz, French Montana, Meek Mill, Mystikal, Steve O, Yo Gotti	Wild Boy (Remix)	spotify:track:2gaI79Gf9OeU0t4ELEmc9B
GoodTime (feat. Lorine Chia & Machine Gun Kelly)	E-V, Lorine Chia, Machine Gun Kelly	GoodTime (feat. Lorine Chia & Machine Gun Kelly)	spotify:track:3mFE860gSuVsIi3ehMHdGw
This Is A Life	Son Lux, Mitski, David Byrne	Everything Everywhere All at Once (Original Motion Picture Soundtrack)	spotify:track:20UK2eUwlRzNuW60gzITuj
Kukoč (feat. NAV)	AJ Tracey, NAV	Flu Game	spotify:track:188Y8ny5w1GArwFjXE2arA
Still Life	Brasstracks, Tori Kelly	Still Life	spotify:track:5OKQlPktbklnSDGm5MqDZB
(You Make Me Feel Like) A Natural Woman	Tori Kelly, JoJo	(You Make Me Feel Like) A Natural Woman	spotify:track:7pkT769ToPqgaEtuVAzyyk
Paper Plates (with FERG & Nigo)	Pharrell Williams, A$AP Ferg, Nigo	I Know NIGO!	spotify:track:3bUBs8uaoDsb06MJsrEd6h
Do Not Disturb (feat. Lil Yachty & Offset)	Smokepurpp, Murda Beatz, Lil Yachty, Offset	Bless Yo Trap	spotify:track:5Ojb9dF8VoBHUwbDfPxMlg
Say About Me (feat. Offset)	Chris Janson, Offset	Real Friends	spotify:track:41SexVn1M33UbZE5Xjj6EC
Bussdown (feat. Offset)	Blueface, Offset	Dirt Bag	spotify:track:2W5f0B44PC1b5OUdK5VqXw
Soul Reaver	A$AP ANT, A$AP Twelvyy	Lil Black Jean Jacket	spotify:track:6hs75fW16hitxMBolLj0Xi
Wednesday	Harriette	Wednesday	spotify:track:7EXbCpipmm2seCQPQ2ulpz
Stress Relief	late night drive home	Am I sinking or Am I swimming?	spotify:track:7xLfmCx9jcZNgzlIK7NupN
Euphoria	late night drive home	Am I sinking or Am I swimming?	spotify:track:6GNBpdqvyzEGUTOFmjz2MV
We're Nobody	late night drive home	Am I sinking or Am I swimming?	spotify:track:2J2043pNvXphox0kkVLehf
Nostalgic Love Rock	late night drive home	Am I sinking or Am I swimming?	spotify:track:0qnixPSm1JnG0ZVUhBFh6t
Under Supervision	late night drive home	Am I sinking or Am I swimming?	spotify:track:3jdwS7lkjbCvV4wR6QJvrK

I Can Be Somebody (feat. Erin McCarley)	Deorro, Erin McCarley	I Can Be Somebody (feat. Erin McCarley)	spotify:track:0sxvPuybHVMwEvCSfbJDM6
iKnow	Roman GianArthur	Wondaland Presents: The Eephus	spotify:track:4XgcRKS39KBxajlRU2Jxf3
Teenage Miracle	TOWER	Teenage Miracle	spotify:track:7fjOKGRPXfrPXrm40vl50j
World War Pt. 2	Autre Ne Veut	World War Pt. 2	spotify:track:1BJ3nnzKRR1SdpfBl6aBua
Shapes	Fjord	Shapes	spotify:track:03Kg2zXQuuWS3uq64VyJmZ
Heavy Metal Detox	Wavves	Heavy Metal Detox	spotify:track:5x2AVxrRfHledf1D4KxscZ
Beverly	Allan Rayman	Hotel Allan	spotify:track:31ZtiFW9JSHI701JzEJHum
Nothing Solutions	Georgia	Nothing Solutions	spotify:track:5u0sZBf7RP5jY4P4C44uh4
Utopia (Radio Edit) [feat. Janelle Kroll]	Moon Boots, Janelle Kroll	Utopia	spotify:track:4YF6YgBJeU1RHJcfEOBMNG
Chocolate Milk (feat. Rye Rye)	Coucheron, Rye Rye	Playground	spotify:track:5KKg8JWojYrb8APKX2VPf7
Can't Have	Steven A. Clark	Can't Have	spotify:track:7e814hzcDc3HyQkJQNdzS1
Life Come Into Me	Babes	Life Come Into Me - Single	spotify:track:536qx8SuJhjvaBPhdAtTrw
Best	Petite Noir	Best	spotify:track:6lM2pHliq1JGSvQ6DmI9QH
London	Grace Acladna	Songs of the Subconscious	spotify:track:6J6TZRILMV9QtZMldlVPwg
Living as a Ghost	GEMS	Living as a Ghost	spotify:track:6sbrFaUrIq49wLFgkx5f1R
It Felt Right	Gilligan Moss	Ceremonial	spotify:track:5LYnPvdyfUWW3RLqTBI4bI
Times Square	Destroyer	Times Square	spotify:track:0ut0p2eRFZHHMDVMdvxD5z
Only You	The Bohicas	The Making Of (Bonus Track Version)	spotify:track:7EAAbdUcqiChW5ImdHw9bC
May I Miss You	Family of the Year	May I Miss You	spotify:track:3NK059bvcR4ymqzon00p3o
We Don't Stop	Kaskade	We Don't Stop	spotify:track:04coyVwlPNfsK0icWUd1Lf
Light (feat. Little Dragon)	ODESZA, Little Dragon	Light	spotify:track:39vo2b8Kp9NdvyCKionm8U
Smile	The Royal Concept	Smile	spotify:track:2wKNBWS1mK1BhepVnuylz2
Lover Come Back	City and Colour	Lover Come Back	spotify:track:1ZHwUSnja8I1WbM3GeDh31
Blossom	Noah Gundersen	Carry The Ghost (Deluxe Edition)	spotify:track:0FvKy8AbNlEniYbmoykuBN
Walk the Wire	Boy & Bear	Walk the Wire	spotify:track:1GVHgcM5VSswxsEje2AE8U
Gibraltar	Beirut	Gibraltar	spotify:track:6Pw7vGpP1Ea6WN15QAueGa
When Love Hurts	JoJo	III.	spotify:track:1cMz6rroBWiUPjkCIxtMAN
Catch	Dresses	Catch	spotify:track:2mK3ZMiwScXhErO7CSM2X6
No Mans Land	Panda Bear	Crosswords EP	spotify:track:5IYNLKmnAL9EBUBZU8OK2g
The Light	Disturbed	Immortalized	spotify:track:5x7LgSrbNjqoGWMe10Ibxr
Evil Doer	Radkey	Dark Black Makeup	spotify:track:7LQ1aHUAcw6wFo7OKOLWXf
Here's to the Death of All the Romance	The Dears	Here's to the Death of All the Romance - Single	spotify:track:18l6Aj13ItbRnQL4Nk6Luh
Slumlord	Neon Indian	Slumlord	spotify:track:184L49LDYBz4pnciqKpqOo
PPP	Beach House	PPP	spotify:track:3uUK9ArKUkr8LWuHwZ7yeQ
Shook	Dralms	Shook	spotify:track:7zE3v4FgiOJSmAdDL9cnJ8
Better Off	Emily Vaughn	Better Off - Single	spotify:track:7jEYdiDSaJ0UhJYvxnCImo
Carry On	Cœur De Pirate	Carry On	spotify:track:1ALKIbLjNNpftPGAwTP8eK
Anchor	Sophia Black	Sophia Black	spotify:track:4j8vtEbduKYIAzLhiNseYy
Lies	Low	Lies	spotify:track:1h16qDsxPeomBKU6iytgmk
Snakeskin	Deerhunter	Snakeskin	spotify:track:5pL8BZkWgo3oSUd9PTN1WJ
I Can Be Somebody	Erin McCarley	I Can Be Somebody	spotify:track:5W7BJJZhFESuM6ytJdvBW8
They Know	Luke Christopher	TMRW	spotify:track:6vPIRcylcXttSYprNGsSPK
Circadian Rhythm (Last Dance)	Silversun Pickups	Circadian Rhythm (Last Dance) - Single	spotify:track:6JTxtpBrIBFZF9bnpvzJEa
Revelator Eyes	The Paper Kites	twelvefour	spotify:track:4A8wLC09mcPYI6ZwM6Ia44
Sleep In	Telekinesis	Sleep In	spotify:track:3AnlNDM6RIFcljsQVlW33z
Whatever (feat. KOLAJ)	Kaskade, KOLAJ	Whatever (feat. KOLAJ)	spotify:track:4AMcPYhd86gOP045XVGWgl
Bad Chick	SoMo	My Life II	spotify:track:4OGeWgHHgWmnOllev6Q9hp
Model	Before You Exit	Model	spotify:track:6gxzLJu6qwrQeNj0izywxr
My Head Hurts	Wavves	My Head Hurts	spotify:track:3kpAiE6nAr5t7OLnl7mNFH
Cast the First Stone	Slayer	Repentless	spotify:track:3epEB7vitrChon0k6sYZQw
Lost It	Circa Waves	Lost It	spotify:track:2X32UBQLy9jsxF7HaCtHH6
River	Saintseneca	River	spotify:track:5s4XsCbPBA3BTRUGsssE8k
Rotten Human	Youth Lagoon	Rotten Human	spotify:track:6fvilesWEULeJeLveQVcxp
High Strung	Shy Technology	Where We Go from Here	spotify:track:2OwYtpnZteqtvz6YgIgGZV
I Want To Believe	Superhumanoids	Do You Feel OK?	spotify:track:2OCu4DusSYTCuRQfbmcEj7
Walls	Slaptop	Walls	spotify:track:6iaszgkGRQPWtnqwtw01V2
Just Breathe	Petite Noir	La Vie Est Belle / Life Is Beautiful	spotify:track:03XK2ZchrcFIcMIJq2VkCJ
Torch Song	Laura Stevenson	Torch Song	spotify:track:7yCnVdXUsJxUhXmv0GaUK4
Your Love	Austin Plaine	Austin Plaine	spotify:track:5TjDlbmnG8lBG8oXqr5ysw
So There	Ben Folds	So There	spotify:track:5KNXqX0bFpQgO1LEZTHpWN
Perth	Beirut	No No No	spotify:track:0MK9OKWuTnuZ4CZq9fiHzM
No Harm Is Done (feat. Tunji Ige)	Christine and the Queens, Tunji Ige	No Harm Is Done (feat. Tunji Ige)	spotify:track:57VxswziRqsPHCWT7H89ey
Feel Better	Hodera	United by Birdcalls	spotify:track:3pMNiCfm3pq9al2qVM7AuB
Night Vision	Transviolet	Transviolet	spotify:track:5tPCeTPAu78V76OcJJtFNl
Take It or Leave It	Great Good Fine Ok	Take It or Leave It	spotify:track:7LeIYh4gDj5l8mJ7kNsHIv
Jealousy	Robert DeLong	In The Cards	spotify:track:2igkt5sVPBzrLXKWR98rFF
We All Fall Down (feat. Jamie Lidell)	A-Trak, Jamie Lidell	We All Fall Down (feat. Jamie Lidell)	spotify:track:37wqQhWWOkv7PMq17XNW8B
Bad Blood	Ryan Adams	Bad Blood	spotify:track:3VDx6xXywqEdtlYhShhXtz
Lonely Roller	Steven A. Clark	The Lonely Roller	spotify:track:0w0tWwESZGcs3UecPqiv7D
You & I	RHODES	Wishes (Deluxe Version)	spotify:track:3FIUnsdCzZHTRoouLXWuce
All out War	Cameron James	All out War	spotify:track:6OwoF7Wpk7hrUExRDvNrTh
Let You Go	Secret Someones	Let You Go	spotify:track:5UZTBmEhyNainsE3fZn0JG
Bad Things With Jamaicans	Charley Marley	Bad Things With Jamaicans	spotify:track:016RVAIrkQM8lsUcxdcosc
L.A. Plays Itself	YACHT	L.A. Plays Itself	spotify:track:4rncQZCu0eqrxD7FxIQ1WI
Lay by Me	firekid	Lay By Me	spotify:track:3FG6whtXzLcTXI5BBBNzDV
Too Bad, So Sad	Metric	Pagans in Vegas	spotify:track:5UqpZZE0TfGMRdv0b8RX8a
Bros - Live from Spotify London	Wolf Alice	Spotify Sessions	spotify:track:4QulaOKztQsZSmqOcnIEA2
HELP	The Front Bottoms	Back on Top	spotify:track:4G7l8ksBL0Xq20SvJhRU2R
Breaker	Deerhunter	Breaker	spotify:track:1Sneo8Lp5Ks4MZnoPMelG7
Roaming Empire	Maritime	Roaming Empire - Single	spotify:track:4iyEmu7kesNi8USU1sEMiE
Take A Trip	The Sheepdogs	Take A Trip	spotify:track:47oXWJebxApn4VF5H3aQzP
In Any Tongue	David Gilmour	Rattle That Lock (Deluxe)	spotify:track:1gLIbISS3w1jjyRu1KuM76
Angela's Eyes	Guy Garvey	Angela's Eyes	spotify:track:7nJ8ybAtaBzVOWlG7nUkkb
Sylvia	Telekinesis	Ad Infinitum	spotify:track:1KsvgWOuc83wpjXxkDxk2O
Fairy Tale	Saint Asonia	Saint Asonia	spotify:track:3dYC80V0E25C1jz3IlkTRV
What's Left Inside	Conquer Divide	Conquer Divide	spotify:track:0ya2jxJ4BWLHfGeXw7IMdl
Silver Linings	Leo Kalyan	Silver Linings	spotify:track:0UAayzM7Nx6WgvtASiPvH2
Lit (feat. Curtis Williams)	LOUDPVCK, Curtis Williams	Lit	spotify:track:4zMghHHGQDsL9KYhKQWGpX
Spaceship	K-OS	Spaceship	spotify:track:23SXDWUsAUkeexJbEGhaau
Cigarettes & Saints	The Wonder Years	Cigarettes & Saints	spotify:track:1bMHWC16ipQUKC3ujCDkg0
Jealous Love	Noah Gundersen	Jealous Love	spotify:track:2wkoSB7yorpDHVcjsrFjlI
No Other Heart	Mac DeMarco	Another One	spotify:track:2bOtPtzdNZMXxuAETyMSUt
Impossible	LION BABE	Impossible	spotify:track:4fsh0YNQNrmx3xE2P3rNpq
Green & Gold	Lianne La Havas	Blood	spotify:track:4VPpZXXeZHfpzvHNaPjLcF
Fired Up	Titus Andronicus	The Most Lamentable Tragedy	spotify:track:2K2fKcuM3xdOF1VZIXWmxA
When I'm Away	The Colourist	Will You Wait for Me	spotify:track:0sjAoOkrgd3olF9OT2f5Xg
Getting Ready to Get Down	Josh Ritter	Getting Ready to Get Down	spotify:track:1gDJei64d4Kl4S1ObDCmEu
Take Me Over (feat. SAFIA)	Peking Duk, SAFIA	Songs to Sweat to	spotify:track:5AtCNPx5jgOohQcVxJPT5b
Stare	Prince	Stare	spotify:track:2eZJ9lrNeSqDt9iOgtft0M
Feel You	Julia Holter	Feel You	spotify:track:5uLlnJ0d7JLQykIJnnShaT
Went to War - Spotify Sessions	Amason	Spotify Sessions	spotify:track:2NlkP6URG3oTJeNVzVUJ7w
Total Zombie	Day Wave	Headcase	spotify:track:2r7JYb8F8IrS5n9RO1jPPo
Do You Like That?	Lena Fayre	Is There Only One?	spotify:track:3xP36ECK0zVpDgLdvSjy0e
Amadeus	Family and Friends	XOXO	spotify:track:4F9jpNQDKRFoyM4Ebpni6S
Girls Your Age	Transviolet	Girls Your Age	spotify:track:1RHQ7op28N0Zwo4c3yDIA4
When It Feels so Good	Strange Talk	When It Feels so Good	spotify:track:6pC98ht70HccYp4fkKBGsq
Waterfalls	Bag Raiders	Waterfalls	spotify:track:1RiW9xjFuaB3qwre3JZMPh
Pray For Rain	Pure Bathing Culture	Pray For Rain	spotify:track:3eEraTOkfo8z1pMGWKaDIl
Unforgettable	NVDES	Unforgettable	spotify:track:79IipVAg7k4b3lJDqfcI7Z
So Good	Beat Connection	So Good	spotify:track:2gS8TYBR4r82Ok2Nstym0y
Firewood	Eliot Sumner	Firewood	spotify:track:5VzU8pZke4y6fHMsAVizrq
It's OK	Big Black Delta	It's OK	spotify:track:54Xh9tYlQNIa9z0PpeT33a
Velcro	Clairity	Alienation	spotify:track:5pXfTSZ03ImQ5M50VilQGW
The Woman	Jimi Charles Moody	The Woman	spotify:track:4WsJxG22ojxoEJl9A5UFlx
Afterlife	XYLØ	Afterlife	spotify:track:3wkZqSu3TJublh8JTyQPcu
Lemon Eyes	Meg Myers	Lemon Eyes	spotify:track:1bwMNFWG2NXOsSz5AgndIy
Icon Love	On An On	Icon Love	spotify:track:2BjCyGBZT48fIHasx1Rm04
Stillbirth	Alice Glass	Stillbirth	spotify:track:3PaBcVPaSor8hsYJrYbVTl
Diamonds in the Dark	Dark Waves	Diamonds in the Dark	spotify:track:0nPJis67HyXJtzOoLbXriy
Slipping Away	Oslo Parks	Slipping Away	spotify:track:2k4ts6k1Ul62zC8Jhvw9Zg
MEN TODAY	HEALTH	MEN TODAY	spotify:track:0KsMRaeqb3QXae5SqLUcsq
I Will Go	Jim Adkins	I Will Go	spotify:track:7MV5N5GNKs9gFDDylFEAnA
Pills	White Reaper	White Reaper Does It Again	spotify:track:0tJ5q534s7wrKyTMhee0jX
Embers (feat. Chino Moreno)	Lamb of God, Chino Moreno	VII: Sturm Und Drang (Deluxe)	spotify:track:4vIKoOznt2p6YhGSHzrksC
Corner	Night Beds	Corner	spotify:track:0GWV2BuEcIwgEMkC03W8zK
Love Again	Gibbz	Love Again - Single	spotify:track:7DOr2pLdRe2ogCjTrSJQk4
Life's A Bell	Langhorne Slim, The Law	Life's A Bell	spotify:track:1tLsKUIP1Ct439NT4ooeEq
... Baby One More Time	Tove Styrke	... Baby One More Time	spotify:track:5QGzdq90Xi0ejPy9ZCO8qf
My Love	Circa Waves	My Love	spotify:track:36Aa3k8vzNL9UkCgjJdI6U
Mr. Rodriguez	Rayland Baxter	Mr. Rodriguez	spotify:track:05D9VMb7x06OJHZV2TGUBX
Pretty Pimpin	Kurt Vile	Pretty Pimpin	spotify:track:6Qb3ZrKyajEVZDBRkoFrxf
Make Your Mind Up	Moon Taxi	Make Your Mind Up	spotify:track:75jDPtDgao3pH9A2XVCWM7
DNA	Clairity	Alienation	spotify:track:5b48BIHRDCaKzhhEuYufRA
As a Bell	Ofelia K	As a Bell - Single	spotify:track:7vu7w2TGMWLrGxTzaqEffT
Indecision - 2014 Version	Shura	White Light	spotify:track:5FnNlgxWJO0MMeyuLjuKau
Satellite Love	Maritime	Satellite Love - Single	spotify:track:4sDIaVQJvS0iBqEI4JtADP
We Made It	Born Ruffians	We Made It - Single	spotify:track:1B7LU9sw0WzOnzJ0pjAnBQ
Elevator Operator - Jim Eno Sessions	Courtney Barnett	Spotify Sessions	spotify:track:3oUdc6N0ff6hrWjGRU4rYp
You Know More Than I Know	Iron & Wine, Ben Bridwell	Sing Into My Mouth	spotify:track:1AFNocUoxCgNUL5vv3aAS1
Random Name Generator	Wilco	Star Wars	spotify:track:1L8PsRYBgVQxpRDpy9qJ6v
Can We Work It Out	Gordi	Can We Work It Out	spotify:track:5zjledEsxPSG5S5s88A9iP
Avalanche	HANA	Avalanche	spotify:track:6q0DPp542oXZ6mUwe4oDRQ
Satellites - Radio Edit	Bobby Burns, Hannah Robinson	Satellites	spotify:track:3peFUAm5l0kWIJXy7Q8GYP
I Can Feel It	Hey Violet	I Can Feel It	spotify:track:4RfAzm75OY1ZWUnDE0X2xA
Making Breakfast - Jim Eno Session	Twin Peaks	Spotify Sessions	spotify:track:0aWb9KqBqhN8ivLMRw3LUx
Secrets	State Champs	Secrets	spotify:track:3Hfhcw6ghFMWyoWJxZKqGI
Mom	Highly Suspect	Mister Asylum	spotify:track:7gra38BG29mMhUFU4yBacW
West Coast	FIDLAR	West Coast	spotify:track:4Aq1PdVsqZyu2qebim8YTg
Under Neon Lights	The Chemical Brothers	Born In The Echoes	spotify:track:5afyyjEqUPOzLcDojuQ7Pf
Phone In A Pool	Ben Folds	Phone In A Pool	spotify:track:0FypB6981L0FlON6kQgYn0
Love Spills	Radkey	Love Spills	spotify:track:0E2YQ2vdVXd1514usN4qEc
Bang Bang	Lawrence Taylor	Bang Bang - Single	spotify:track:5qkLfWFBPgswma3bJ6pDza
Fight for You	Fareoh	Fight for You (feat. Ethan Thompson)	spotify:track:3FBe04HyD6RmsfFwQy8t9X
Free People	Paint The Muse	Free People	spotify:track:2hxHPCE4VLd8hxkNf5Vv5g
Look Outside	Nat & Alex Wolff	Music From The Motion Picture Paper Towns	spotify:track:5LR2IBhAGR2gWH9NrZ4Tjr
After Dark	Eliot Sumner	After Dark	spotify:track:30f88dsSX61usSRilrcUdw
Dead Weight	Mimicking Birds	Dead Weight	spotify:track:4U9dCiF01HHvUL9OytJzwE
Jonah - EP Version	Kaya Stewart	In Love With A Boy EP	spotify:track:0IlVqMR0BJixGoBS6hfC2q
Blue Blood	LAUREL	Blue Blood	spotify:track:1ucLr8unhoIDpNUrm3veN8
Why Let It Go	Telegraph Canyon	Why Let It Go	spotify:track:7jhXS4mQ9g5NLDbEHf6SIh
Girls	Widowspeak	Girls	spotify:track:6sZscQXx3Qisrao6K4gRc7
Get Things Done	Little Boots	Working Girl	spotify:track:5aE1avbYslN2jelBxbVw6G
Sparks	Beach House	Sparks	spotify:track:6y231RMtRgh78I5NuLtOHS
Los Angeles	the bird and the bee	Recreational Love	spotify:track:6Eh8SvUdMWJGZvTR8t0174
No Life for Me	Wavves, Cloud Nothings	No Life for Me	spotify:track:0sVWFE1whD1qw4NlMOIsOQ
Cardinals	The Wonder Years	Cardinals	spotify:track:3tgELjOdhQHyS3mAtmCDVC
All We Are	TiRon & Ayomari	The Great New Wonderful	spotify:track:7B42oNMnuyZ0BvDCF45YtC
Cut Me Loose (feat. Little Daylight)	Royal Tongues, Little Daylight	Cut Me Loose (feat. Little Daylight)	spotify:track:7rUC7a7nymdPDjjqdO2AOz
In Motion	The Lighthouse And The Whaler	In Motion	spotify:track:3wvvtB5FeboO9piUEwLkCK
Forces	Japanese Wallpaper, Airling	Japanese Wallpaper	spotify:track:513ldK1f2GHGSV8FR5IuSn
Give You Up (Radio Mix) [feat. Paperwhite]	The Jane Doze, Paperwhite	Give You Up (Radio Mix) [feat. Paperwhite]	spotify:track:34aLh04acbRDXi3NwginpJ
Home	Little May	Home	spotify:track:6XQgX0rO7F8weAodUMI4jQ
You Got Spirit, Kid	Coheed and Cambria	You Got Spirit, Kid	spotify:track:7jIBM2ipUsv8FwXmdd9KmH
4th of July	The Dig	4th of July	spotify:track:4qDp8wlRLQuIo03jD8E22H
Seventeen	Sjowgren	Seventeen	spotify:track:1fWwxmWor6QbvBeLSV428F
Weathered	Jack Garratt	Weathered	spotify:track:18pfz9Q3vmxNPv6rxc695W
Tired of Talking	LÉON	Tired of Talking	spotify:track:17buItCAF63E5XbCmshCmD
Weak	Wet	Weak	spotify:track:68TI8RUq42bv7UpQZkI2a3
As Crazy As It Is	ZHU, A-Trak, Keznamdi	As Crazy As It Is	spotify:track:1sasDWpxOWZbZAwBvcdyJs
Dynasty	MIIA	Dynasty	spotify:track:3vVXzKIlFLYERxMaVFukyr
I Wish (My Taylor Swift)	The Knocks, Matthew Koma	I Wish (My Taylor Swift)	spotify:track:2AXGzTR7VJBRD44dHpZwtr
Harpe	Kenton Slash Demon	Harpe/Syko	spotify:track:7yRE5KBKSrntclxCKnlgYs
In The Middle	JR JR	In The Middle	spotify:track:64ofxQuzuazPOZ7MeAU4Da
Up Up Up	WATERS	Up Up Up	spotify:track:6f9n1Bu0LujDu7WybpMTJG
BURNITUP! (feat. Missy Elliott)	Janet Jackson, Missy Elliott	BURNITUP! (feat. Missy Elliott)	spotify:track:5N8UYZgwOBo5w5VGu4Kf10
Let Me Through	The Dead Weather	Dodge and Burn	spotify:track:4py998P9qkiiKXhCfvWfpf
Get Right	Arcade Fire	Reflektor (Deluxe)	spotify:track:4Pcu7ECr8J12posoUOo8qM
When I Was a Boy	Electric Light Orchestra	When I Was a Boy	spotify:track:39pyh95CX5M3bpN7XiFJeP
Hands In The Garden	Half Moon Run	Hands In The Garden	spotify:track:3RYdyNDoVfezKJZYFH2WlY
Gone	Ofelia K	Gone - Single	spotify:track:0TBG3W9GLQhlK20JsciTxG
Change In The Weather	Dive In	Change In The Weather - EP	spotify:track:4yfxU44LYEm5Z9OcMsPYn4
