Maybe Songs	Artists	ID	ExCol
Excuse Me	B.o.B	Elements	spotify:track:2nRphgAfz4byn8ovbMVGgO
Nightlight	Silversun Pickups	Nightlight - Single	spotify:track:2RnXsu8DbqB5vUgKO6Cuz1
Hurt	B.o.B	Elements	spotify:track:2SWcS4Ll3LNYuo20HDGRVw
Ink Slinger	Brooke Waggoner	Originator	spotify:track:62pmydgiTm6GF5rrPHh8Tc
Faint	Linkin Park	Meteora (Bonus Edition)	spotify:track:2uxL6E8Yq0Psc1V9uBtC4F
The Church Of What's Happening Now	Sia	Colour The Small One (Deluxe Edition)	spotify:track:1i3uOCe5eRI6tZJ0Gijt5E
learned	Magneto Dayo, Jhené Aiko	Apocalypse Soundtrack	spotify:track:1vxvT59DvpE1Gzmlc7zqqk
Return To The Moon (Political Song for Didi Bloome to Sing, with Crescendo)	EL VY	Return To The Moon (Political Song for Didi Bloome to Sing, with Crescendo)	spotify:track:52lCn5vuJxzLAMw3IGJU3q
Sunday	Sia	Colour The Small One (Deluxe Edition)	spotify:track:0Ek3vXpRJi1ZAB6FZgxkmF
Summers Day	B.o.B	Elements	spotify:track:0fVGtZDbeT7O3czTNOZSOe
Reinventing the Wheel to Run Myself Over	Fall Out Boy	Take This to Your Grave	spotify:track:4tj6uekOEtNOqJJ8BpBP74
I Owe You	Royce Da 5'9"	Independent's Day	spotify:track:6s5qKqiLrxEtTRTMpb5fvg
Alpha Dog	Fall Out Boy	Believers Never Die - Greatest Hits	spotify:track:78QivlATTLEV1vaUPBTGlt
Waving Goodbye	Sia	The Neon Demon (Original Motion Picture Soundtrack)	spotify:track:6CTlI7DT6zzL6PhH6FKWBz
Trembling	Yellowcard	One for the Kids	spotify:track:5xI6fXOhY6k2AY26qgdF8h
Everything	Kaptan	Everything - Single	spotify:track:3VHveGj6Va4nT0Xr3eBuZi
God, If You Are Above...	Falling In Reverse	Just Like You	spotify:track:5aOxxY8edwjAJI7vjSJTxp
It's Alright	Majik	It's Alright	spotify:track:6YsO41GzBbvLPnrKb15EVt
We are the Hearts	EXGF	We are the Hearts	spotify:track:4XPlMHV5UlXxs7PgNVWU5g
Inside Out Acoustic	Yellowcard	Ocean Avenue Acoustic	spotify:track:6IuU2xPKZVMaTmJBFfQCce
A.W.O.L.	Yellowcard	One for the Kids	spotify:track:4TSMnT5sK6lXtuUYkRryWX
Turtles All the Way Down	Sturgill Simpson	Metamodern Sounds in Country Music	spotify:track:4NE3oWyUQI2b2NjyMyC8Bi
Long White Line	Sturgill Simpson	Metamodern Sounds in Country Music	spotify:track:40Xg69oisdpuP4C7xl3RkK
Grenade Jumper	Fall Out Boy	Take This to Your Grave	spotify:track:3jsNPTt6LUyB2srOcZaq47
Godspeed	Devontée, Joey Bada$$	District Vibe	spotify:track:6kepkBXsU7WfOO3tpIp7E2
Messin' with You (feat. Joey BadA$$ & AZ)	Justine Skye, AZ, Joey Bada$$	Everyday Living	spotify:track:3MBoVFhVdQg9Hi27xosCAw
G.Otham F.Uckin C.Ity	Smoke DZA, Joey Bada$$	K.O.N.Y.	spotify:track:1eJfM76EjHKGq7xFPmOndS
Slum Villain	Statik Selektah, Joey Bada$$	What Goes Around (Spotify Exclusive)	spotify:track:7HL20ipUse2JxWgj0pnBuW
Black & White (feat. Joey Bada$$)	Jared Evan & Statik Selektah, Joey Bada$$	Boom Bap & Blues	spotify:track:1gSPyI9G99hxCBh3UvILIk
Connected (feat. Push!, Wais P & Joey Bada$$)	Ea$y Money, Push, Wais P, Joey Bada$$	The Motive of Nearly Everybody, Yo	spotify:track:1g0Vv8g1XYE4EvpIIEFHMj
A Day in the Life	Joey Bada$$	Peter Rosenberg x Ecko Present: The New York Renaissance	spotify:track:5eooqALqpogG8JlHvN0OjD
Valentine's Day	Linkin Park	Minutes to Midnight	spotify:track:2vfshZvISOKy2Je7wQBWOV
Georgia	Tiggs Da Author	Georgia	spotify:track:06VFJ6o6ywoSdrSWMZMIoN
Against The Time	Wynter Gordon, Vince Staples	Five Needle	spotify:track:6p2LimQV9g83taNMnafoxX
Heaven Go Easy on Me	The Head And The Heart	The Head and the Heart	spotify:track:0OTZSyRWCb8cYxGU2hWue4
In the Summertime - Stinson Beach Sessions	The Head And The Heart	Stinson Beach Sessions	spotify:track:3jMNj94UkQ4CNKLo7bPPl6
Don’t Forget Me	The Head And The Heart	Sweetheart 2014	spotify:track:57YTJpd7PfiMzYYO8jX2Cu
The Dark Room (feat. Vince Staples)	Dilated Peoples, Vince Staples	Directors Of Photography	spotify:track:0v6Zzy5RzrTeLSyhlXzMks
Farrakhan	Joey Fatts, Vince Staples	I'll Call You Tomorrow	spotify:track:1lcIiSyTihCyTwzCDalprR
Million $ Dreams	Joey Fatts, Vince Staples	Chipper Jones Vol. 3	spotify:track:0Kj8X8Akn1UDatXhYIrNJn
Ascension (feat. Vince Staples)	Gorillaz, Vince Staples	Ascension (feat. Vince Staples)	spotify:track:4xmauQDU8n3QZ2kzfa3wTH
Hey! We OK	Never Shout Never	Black Cat	spotify:track:5CizcbgQSx02pbaEw4X5hi
Worst Enemy	Raekwon, Liz Rodrigues	Fly International Luxurious Art	spotify:track:3BZAIk7NDWcpedrln2umyt
Coast (It's Gonna Get Better)	Patrick Stump	Soul Punk (Deluxe Edition)	spotify:track:5u1UM2AxTrHUasIQabY6z6
Dayglo Reflection	Bobby Womack, Lana Del Rey	The Bravest Man In The Universe	spotify:track:2ZdLePqGqO0tuQMW1vykK0
Hold the Drums	Smoke DZA, Pete Rock, Royce Da 5'9"	Don't Smoke Rock	spotify:track:3eUY7vulBeXwb0CfsWzU4J
Heated Nights	Raekwon	Fly International Luxurious Art	spotify:track:4x7tEIVUuTmoGv99ouLTWl
Still Spinning	Joshua Radin	The Fall (Deluxe)	spotify:track:0bn6imVGsvJ2VlWkmKHnhO
Yule Shoot Your Eye Out - Bonus Track	Fall Out Boy	Believers Never Die - Greatest Hits	spotify:track:24ZZV8nmMT0TD5jVdkqNhK
Never Caught Slipping	Royce Da 5'9", Nottz, Snoop Dogg	Lost Files	spotify:track:1d3ZiXPkt92lprll9iHufM
Given Up	Linkin Park	Minutes to Midnight	spotify:track:1fLlRApgzxWweF1JTf8yM5
Promises	Ryn Weaver	The Fool	spotify:track:1rQVylbMy4s9NLcHPeOL9c
Big Hype (Feat. D.A. of Chester French and Driis)	Patrick Stump	Truant Wave EP	spotify:track:3dZbq04C4z6W9b5noaiD9C
Never Stop	SafetySuit	These Times	spotify:track:0Zxgbt8MzrgjHnXQT4C2kt
No More Sorrow	Linkin Park	Minutes to Midnight	spotify:track:4CWhc9FaMMfBTt4ANjfbOf
Nautilus	Raekwon	Fly International Luxurious Art	spotify:track:0lMEO3vaPsICMpWNDJGGHt
Anchor Down	Outasight	Anchor Down	spotify:track:24KGnjJXjEeXqBD8XddLfo
Dim The Lights	Creep	Echoes	spotify:track:7LxJ1GqWQPmI0pzpzBB4Aw
Miracles (Someone Special)	Coldplay, Big Sean	Kaleidoscope EP	spotify:track:6uJwPeBGb3swi85TSr9iIz
What I'm Made For	Tom Francis, Royce Da 5'9", Tyler Thomas	What I'm Made For	spotify:track:7gqhW4hpDWe2vNvkO99Zl0
The Reign	Raekwon	The Wild	spotify:track:7342cUKBoPMBRWZuMCU04O
Corey	Dave East	P2	spotify:track:3y1hngdvode45JvT7QqPJP
The Calm	Drake	So Far Gone	spotify:track:4tI465m89SSZc5585Hd9Er
Woke Up	Dave East, Tory Lanez	P2	spotify:track:4G18cDpiY0RKHMj8bJLa6O
Moonshine	Foy Vance, Kacey Musgraves	Live by Night: Original Motion Picture Soundtrack	spotify:track:29Wsv7TKa6F0V7rlTNQcWC
Real Friends	mike.	Real Friends	spotify:track:5i6BKd7lKtFRvLLMxJPJZq
Focus	Tyler Carter	Focus	spotify:track:7iLOQCaMPnSivULXNQAQDd
Michigan	Autumn Andersen	Michigan	spotify:track:2QeYCrXHop8cUL3sM3B1U2
Come On To Me	Paul McCartney	Come On To Me	spotify:track:1EiSEUs3FuRZDBU23MuUN3
Happy With You	Paul McCartney	Egypt Station	spotify:track:5ct5gaiaobb1p9JmWluGFw
Garden	Emeli Sandé, Jay Electronica, Áine Zion	Garden	spotify:track:60SDut8yiSsAEi8JSARbq5
You Can Cry	Marshmello, Juicy J, James Arthur	You Can Cry	spotify:track:3ZbJMlEL4Kcme0ONRO7Slx
Spotlight	Marshmello, Lil Peep	Spotlight	spotify:track:6VrCmhRBFnuGKmtNfk4jDs
Project Dreams	Marshmello, Roddy Ricch	Project Dreams	spotify:track:0PowxVSTY2uh1CPc8EPKyX
Our Love	Nico & Vinz	Cornerstone	spotify:track:4MyyNsp3aBr0SKSKENNpDT
Natural	ZAYN	Icarus Falls	spotify:track:0ubgPdVdSSp0n2l4pLIeB2
STREET LIVIN'	Black Eyed Peas	STREET LIVIN'	spotify:track:6NjcOqkCcsbO65KhM5Af2K
Black Clouds (Hushed)	Andrew Belle	Dive Deep (Hushed)	spotify:track:5KSnlCg73B4SVF94Yzo1I4
In Between	Viané	In Between	spotify:track:1hSEZdLrJuYF81iciV1oT3
War Machines	Christian Carcamo	War Machines	spotify:track:3O2mzyQUGobwsFSpt7zYN3
Don't Go Too Far (Deconstructed)	Twiceyoung	Don't Go Too Far (Deconstructed)	spotify:track:1T0xpOfhGlcviaBK1Du13H
Cruisin'	Austnamelia	Cruisin'	spotify:track:6b1P41ZMyoWqe39nMbfyBd
Saying Goodbye - SST Studio Session	Ondara	Saying Goodbye (SST Studio Session)	spotify:track:7eOfmkHUuTd2SzJZumjT2n
DVP	Sean Leon	DVP	spotify:track:5g6kBx6J6gFiV2iXFxRx3P
I I U	RADWIMPS	ANTI ANTI GENERATION	spotify:track:37885jEmU15ucPMhMunyza
Edges	Akshara	Edges	spotify:track:0st5rIU2FqzPwuExFi8ktu
Cry for Me - Acoustic	Violet Skies, Mateus Asato	Cry for Me (Acoustic)	spotify:track:3CPhTE06Sdmq2GxfUDmhso
I Loved You, Once	Hazel Bloom	I Loved You, Once	spotify:track:7hbWnnGQsTCM1SDaCg1ibQ
Solitude	JXN	Solitude	spotify:track:31AuJaUuJV7LI0grZeJM1y
You and Me	Zach Oliver	You and Me	spotify:track:6Re8eOJki8Lit4m97lyWnK
The Bell	Normandie	White Flag	spotify:track:7tTGXwMRR2CC1sfzHDpokr
Do Something (The Reprise)	Ian Kelly, Swank	CHAMPIAN	spotify:track:0cgtjtfb8ReYoQeqfJ1YUS
Over It	HTHAZE, YOUNG XAV	Over It	spotify:track:1AkpapChl2tBLTvPIBN0kB
wake up	Zachary Knowles	wake up	spotify:track:1qIuzMdRW3QdbOWZFXanqT
Mrs. Lynch, Your Son Is The Devil	IDK	IWASVERYBAD	spotify:track:0RYFdSlwtwZWi2mHeFPBf7
Carousel	Sam Tsui	TRUST	spotify:track:5RFPk1RTYF9WCqL5yF6Nt6
DEAR DRUG DEALER	STALONE, Dem Jointz	DEAR DRUG DEALER	spotify:track:37DPV2wISMCKCNoB78oyy4
Early	Pell	Early	spotify:track:7eVNQ2kTpmiV9xGfuUqkkJ
The Soul	REASON	The Soul	spotify:track:13aCijAUkBuhcUp9tI8tD5
Player Shit	Tyler Thomas	1800 Seconds: Curated By Pusha-T	spotify:track:5XMAGvktJDs61NfvkcYD6M
Golden Boy	Hadji Gaviota	Captain	spotify:track:0HgTki18X2NR2skPPoZImx
Moments Passed - Mike Dean Remix	Dermot Kennedy, MIKE DEAN	Mike Dean Presents: Dermot Kennedy	spotify:track:279wTl3jHhGbPLSYlkMNZC
Body on Fire	Rain City Drive	Body on Fire	spotify:track:4WQMNVyBcEmoWMM3T6VNai
You Are Mine	The Avett Brothers	True Sadness	spotify:track:0MbFlQGI6vEFO2KbrVi7xa
Slow Dance With The Devil	Parson James	The Temple EP	spotify:track:5gnqu97deHhh3MBfeJXXev
Run Up	Major Lazer, PARTYNEXTDOOR, Nicki Minaj	Run Up	spotify:track:0SujigeT7cxuxBfhN3eOcp
Sunlight (prod. C-Gutta)	Spodee, B.o.B, Mitchelle'l	No Pressure	spotify:track:02G5ToHEWSM3SrF1wDU6b2
Man of the Woods	Justin Timberlake	Man of the Woods	spotify:track:4KTU5aa5s547f1JF5DImhF
Cycles	Methal, X Ambassadors	Cycles	spotify:track:0KTljCpQ0qNv2Zev3dAxMM
The Best - Recorded at Metropolis Studios, London	James Bay	Spotify Singles	spotify:track:7cBAltYsu55X4BgiOUjaSY
KeeP IN tOUcH (feat. Bryson Tiller)	Tory Lanez, Bryson Tiller	KeeP IN tOUcH (feat. Bryson Tiller)	spotify:track:7hxREMLAebTcuadofbuyJj
The Feels	Maren Morris	GIRL	spotify:track:74mGikI3P484sQAFSnjNuV
A Song for Everything	Maren Morris	GIRL	spotify:track:69fiYWZsqPB7BVhJJODKQJ
What's My Purpose	Hopsin	Knock Madness	spotify:track:3fdrpTQLt9fujuTvWR7hh0
Nobody 2	Avenue, Ariez Onasis, Royce Da 5'9"	Nobody 2	spotify:track:0QckkD6Oyxn28HCF6A2NqW
Pushing Up Daisies (Love Alive)	Brothers Osborne	Pushing Up Daisies (Love Alive)	spotify:track:37RK2BSuojrp0cJkS5tFyM
What Made Me	Dave East	P2	spotify:track:65gZbZhrQsUIKy4h585QJP
Up We Go	Lights	Little Machines	spotify:track:2u6CBCGo8outw3ThHk4c4l
Sue Me	Sabrina Carpenter	Singular Act I	spotify:track:3WVhkjB7Y4xFruqoCAajBb
Cold Summer (feat. Kendrick Lamar, Mac Miller, Kevin Gates & Rell) (feat. Kendrick Lamar, Mac Miller, Kevin Gates & Rell)	DJ Kay Slay, Kendrick Lamar, Mac Miller, Kevin Gates, Rell	Cold Summer (feat. Kendrick Lamar, Mac Miller, Kevin Gates & Rell)	spotify:track:4PsVJAD9nDnunErLsh1FoD
Peter Pan	Dave East	Peter Pan	spotify:track:2CpObWf3NaoSNacD2Q0qDg
Beach House	The Chainsmokers	Sick Boy...Beach House	spotify:track:0N8MGHEDAq29ip7RrlrTeN
Five More Hours	Deorro, Chris Brown	Five More Hours	spotify:track:6YwLgicpvVuMt1eE2OldwQ
Ying Yang	Raekwon	The Tonite Show	spotify:track:1OdTE4yqZYsVMtkgDLTlOR
Sometimes	Snoh Aalegra, Logic	FEELS	spotify:track:2Yoi40YHBjbI2PycCeimJO
Signs	Drake	Signs	spotify:track:6Na5uKk5SsqZimk0hAWo8y
Lessons	Sinéad Harnett	Lessons	spotify:track:61gMPDC1BYxaTFu3af2IBK
My Little Prayer	David Archuleta	My Little Prayer	spotify:track:7qLPynt52N0NzHoJEpgI3V
Lay Your Hands	Night Beds	Ivywild	spotify:track:551UJAhirHoljmhonQFpu4
I Do All My Dreamin’ There	Luke Bryan	Farm Tour…Here’s To The Farmer	spotify:track:3EuCHzsFw6xoow6dXWDq5i
Come Closer (feat. Drake)	WizKid, Drake	Sounds From The Other Side	spotify:track:2zYs4BonN2ydkbrRk333SN
Heart Falls Out	David Archuleta	No Matter How Far	spotify:track:4JILwIbrihTj7blHYN2kFw
When They Come for Me	Linkin Park	A Thousand Suns	spotify:track:03abU98g89psJPe49XO4UW
Doing It Wrong	Moke Hill	Doing It Wrong	spotify:track:6WrKh3tG2uKxxdphxTcbqc
Ocean Drive	Duke Dumont	Ocean Drive	spotify:track:0b6wdul3A5sQNpIOv03OxP
I Found Keisha	Dave East	P2	spotify:track:7zHW3Z0e7kF7Jqv5KVvlv1
My Hands	David Archuleta	David Archuleta (Expanded Edition)	spotify:track:0cZDXhSfJXLvizPHgtwyO3
Dark Horses	Kill Miami, Raekwon, KRS-One, Lunar C	Dark Horses	spotify:track:3N77eeOm7URR8GN2WQ7X1L
The Courage or the Fall	Civil Twilight	The Courage or the Fall	spotify:track:5DjkTTiqueutIfjH3a1qqb
Along the Way	Jason Wade	Paper Cuts	spotify:track:4nSXA4sVtRBIqzSOZWT3bg
Fear	Drake	So Far Gone	spotify:track:3IS2FoqSwKh1CMMEFk45wr
Wouldn't You Like To…	Malik Yusef, Kanye West, Jv, Common	The Great Chicago Fire A Cold Day In Hell	spotify:track:4o5C0nLaBZbMxUrejb5FUV
IGOR'S THEME	Tyler, The Creator	IGOR	spotify:track:51RN0kzWd7xeR4th5HsEtW
I THINK	Tyler, The Creator	IGOR	spotify:track:4f8Mh5wuWHOsfXtzjrJB3t
Hotel Ceiling	Rixton	Let The Road	spotify:track:2s5B2qJSK8kbFyFRiRq06b
Culinary School	Raekwon	The Tonite Show	spotify:track:56f17Ea6XbAqSWqdL3j08I
Josephine	RITUAL, Lisa Hannigan	Josephine	spotify:track:7fljdg3Q8zaqJQiolsMIfU
RUNNING OUT OF TIME	Tyler, The Creator	IGOR	spotify:track:5QvBXUm5MglLJ3iBfTX2Wo
Wasted Love	City and Colour	Wasted Love	spotify:track:4pgL8fLSInDBWSW81hkMBS
Lost In Translation	Logic	Confessions of a Dangerous Mind	spotify:track:2lef7yeg5qkPNt0ptulqfW
Holes of Hell	Raekwon	The Tonite Show	spotify:track:4aaa4D31TYjMDReNRSz2YD
Lights On	XY&O	Lights On	spotify:track:4ZZiwl1gIMtbqcZOiYSjHm
Sink or Swim	Jason Wade	Paper Cuts	spotify:track:3DtMbMtQ8dM4LO9sokHL6Z
Real Niggaz ft. FaShawn (feat. Fashawn)	Raekwon, Fashawn	The Tonite Show	spotify:track:0boUu47XpDEUq61EJYZVni
Chapter Two	Jason Wade	Paper Cuts	spotify:track:1jYcAezV0SZyNIJclkOqI3
Purple Emoji (feat. J. Cole)	Ty Dolla $ign, J. Cole	Purple Emoji (feat. J Cole)	spotify:track:3OJ4LEE50iFELaHiZ09zif
Remember	Slaptop	Remember	spotify:track:46YCue4iaKMg85NU3ZCPqm
Paper Cuts	Jason Wade	Paper Cuts	spotify:track:5MPYXHo6lpcAkjUsi4H9L1
Pardon My Ego	Logic	Confessions of a Dangerous Mind	spotify:track:45uPKvMUFmObuDYka9AnKa
We Run	iSHi, French Montana, Raekwon, Wale	We Run (feat. French Montana, Wale & Raekwon)	spotify:track:71zSykMH3Rzw2YyDCPNLB4
Maintain	Dave East, Bino Rideaux	P2	spotify:track:4ZCux26D5iaCvEJw6fsowp
School (feat. Lupe Fiasco, Talib Kweli, Hus Kingpin & Rozewood)	Forever M.C., It's Different, Lupe Fiasco, Talib Kweli, Hus KingPin, Rozewood	Forever M.C.	spotify:track:1z3mzlCxbvjP7BWR2TAKd9
Underground (Live)	Cody Fry	Live Captured Recordings	spotify:track:3xy8X1FYoDvHLsw6ix04zQ
House On Fire	Ryan Cabrera	House On Fire	spotify:track:2oVqzEcaXpUnxQv7dIAtKb
Every Soldier In The Hood	Raekwon, Method Man	Shaolin Vs. Wu-tang	spotify:track:2UZGUYUUXsPX0WHt1OzW5i
Running	David Archuleta	David Archuleta (Expanded Edition)	spotify:track:7pDeWJbobike2pYSX3iI2s
One More Round (feat. Meechy Darko, Erick The Architect & Nyck Caution)	Beast Coast, Joey Bada$$, Flatbush Zombies, Meechy Darko, Erick the Architect, Nyck Caution, Powers Pleasant	Escape From New York	spotify:track:4URGmQkQ2Gy0axfCO3PPaO
Tom Clancy	Kirk Knight	Iiwii	spotify:track:58uBiMvKpp4nIx9FlBJ7hI
Not Love	Photocomfort	Not Love	spotify:track:1UXB7Arms6kcowqsSOUGwc
GONE, GONE / THANK YOU	Tyler, The Creator	IGOR	spotify:track:1hz7SRTGUNAtIQ46qiNv2p
This Feeling (feat. Kelsea Ballerini)	The Chainsmokers, Kelsea Ballerini	Sick Boy...This Feeling	spotify:track:15kQGEy89K8deJcZVFEn0N
Limitless	Logic	Confessions of a Dangerous Mind	spotify:track:6uS8KevqrhUjVjFZfWxsTh
Find Another Way (feat. Marcus Mumford)	Tom Morello, Marcus Mumford	The Atlas Underground	spotify:track:6PTNxBWNr1B911E8wkmkgN
Pieces	Andrew Belle	Black Bear	spotify:track:2m1tUYgQnDHGlJjpqGaQw8
Back To You	Twin Forks	Twin Forks	spotify:track:5gHR34g8eZzmDWKYmVw0Ye
Western World	LION BABE, Raekwon	Western World	spotify:track:6SKQvtF2QMELjqpnAyrH6O
Pull Up (feat. G Herbo, Dave East)	Don Q, Dave East, G Herbo	Don Season 2	spotify:track:4QZGgQpcyRVCQUDGAVNHa6
Snake Pond	Raekwon	Shaolin Vs. Wu-tang	spotify:track:18sOVdgEkI7iC1gEQDLb50
Puke (feat. Nyck Caution, Erick The Architect, Meechy Darko & AKTHESAVIOR)	Beast Coast, Joey Bada$$, Flatbush Zombies, Nyck Caution, Erick the Architect, Meechy Darko, AKTHESAVIOR	Escape From New York	spotify:track:6djv8v0u9fEIErhzwpBoC2
The Scroll	Raekwon	Shaolin Vs. Wu-tang	spotify:track:2MA31Cc7SrZsAAfievGBWY
Be Honest (feat. Burna Boy)	Jorja Smith, Burna Boy	Be Honest (feat. Burna Boy)	spotify:track:5pAbCxt9e3f81lOmjIXwzd
Black Mozes	38 Spesh	A Bullet For Every Heathen	spotify:track:5KAHop6x4tApUKpAdjUJp6
Phantom Lane	WONK	Moon Dance	spotify:track:6lSjmyqIuBlMgXOCkYQCZ6
Beach - I Wanna Make You Mine	Will Joseph Cook	Proof Enough EP	spotify:track:7MaTXntXKVyud6L8ox0Mnw
If I Go	Jake McMullen	If I Go	spotify:track:6UfKha2TAX95dHfOx6muVV
Home - Remix	Snoh Aalegra, Logic	Home (Remix)	spotify:track:6tX58sMa2yo08gHgQhtWqD
Dapper (feat. Anderson .Paak)	Domo Genesis, Anderson .Paak	Genesis	spotify:track:2Nh2cMryoXl7BrZoIeN2Pr
Cops Come	Northern Faces	Cops Come	spotify:track:2lpk2McQETyWmUtyIFzPb6
Witness	Will Butler	Policy	spotify:track:7KP71vHVulaMH4LkxMyad4
Buffalo	Toro y Moi	Buffalo	spotify:track:5HmO2ePQ59o9lKpDrkQxHe
Three Little Birds	Joshua Radin	Three Little Birds	spotify:track:2CbK6IbqtaMSDvujyvPdTZ
Love & Loyalty (feat. Mannywellz)	Wale, Mannywellz	Wow... That's Crazy	spotify:track:7HwvN8toW9TIikL0Jr0AfV
Cliché (feat. Ari Lennox & Boogie)	Wale, Ari Lennox, WESTSIDE BOOGIE	Wow... That's Crazy	spotify:track:3Cu5Q7eU7RemfDWuBhz3uf
Love... (Her Fault) [feat. Bryson Tiller]	Wale, Bryson Tiller	Wow... That's Crazy	spotify:track:6cSBm4mtcuFtClN6yDvjQo
I Dont Understand It	Dave East	Karma 2	spotify:track:55gw1V0tW0aQ8EA37YG0FJ
Giannis (feat. Anderson .Paak)	Freddie Gibbs, Madlib, Anderson .Paak	Giannis (feat. Anderson .Paak)	spotify:track:2fHIIgFA9r7oPDpeFZ7eOK
Win Life	Luke Bryan	What Makes You Country	spotify:track:6x8AqouGYXQvAiQyRF9ujM
Religion	Tongues.	Religion	spotify:track:73xsMXuRNB3yqLeNc7NXBq
When We're Old Men	Yellowcard	Deep Cuts	spotify:track:1OeOGKxAugV0fVNh3vhi8g
Reachin' 2 Much (feat. Lalah Hathaway)	Anderson .Paak, Lalah Hathaway	Ventura	spotify:track:577g1tDBKntqev2lLDydxs
Ignant Shit (feat. Lil Wayne)	Drake, Lil Wayne	So Far Gone	spotify:track:2hcohLIysMxofYziluXCoX
Down On My Head - Acoustic	Yellowcard	Deep Cuts	spotify:track:09NOFhmpiZ1itd3Xw1EYPB
Winners Circle	Anderson .Paak	Ventura	spotify:track:3AN70xkC9i9fFBpKlukRhY
Fingerprints	Kita Klane	Fingerprints	spotify:track:7vg5nhOUYEy8Jebe5qtM5k
Stuck on You	Open Air Stereo	Primates	spotify:track:0Koufkh5SR4QiAYAZfapMu
Don't Give Up	David Archuleta, Libbie Linton	Begin.	spotify:track:3MUOF2mSidrZTIjNmDBJel
Angel	David Archuleta	Begin.	spotify:track:230HMMPlbfo3PBGBOBlUa6
Everyday (feat. Gunna)	Dave East, Gunna	Survival Pacc	spotify:track:4DhsfADUqrygvLlrvWBLmm
Why	The Fray	Covers	spotify:track:6K6vHmJ60PgiVON4J5XhNS
OCD (with Dwn2earth)	Logic, Dwn2earth	OCD (with Dwn2earth)	spotify:track:5AebNkVaY2zcdNFCqPBIV7
Someplace Beautiful	Alfred Hall	Wilderness	spotify:track:1tsZYgPcI6o4zKOXquLwee
What Would You Do (Refugee Song)	Joshua Radin	Here, Right Now	spotify:track:7wmLLIhIyFuQj0JGM9r4Sk
Gametime	Wildstyle	Chill's Spotlight	spotify:track:0MPGtvlYvIfoEem4RsxpXi
Only One - Live	Yellowcard	AOL Sessions EP	spotify:track:3kajXDsvf9nUO6I9DETypf
Longer	Nashville Cast, Clare Bowen, Sam Palladio	The Music Of Nashville: Original Soundtrack Season 3, Volume 2	spotify:track:0x5OgUdreV9rImEv4VMmyN
Parachutes (feat. Oncue)	Jez Dior, OnCue	Parachutes (feat. Oncue)	spotify:track:7ivJMhXzVkG1vUHzX8zehL
Thistle & Weeds - Recorded Live At VRT/Studio Brussels	Mumford & Sons	Sigh No More Sessions	spotify:track:7MUPhwtrjSW0dRjWfXJE0L
Mary's Boy Child	David Archuleta	Winter in the Air	spotify:track:2nwlqZcCw0gFCbLXxWFRAQ
Dreams Come True	Brandon Flowers	The Desired Effect	spotify:track:54zDQVvekqrzWfOeNfLPtK
Religion	Howard	Religion	spotify:track:3noFLMDK1bViOqSqbndmIV
In Pieces	Linkin Park	Minutes to Midnight	spotify:track:7jeI6EdY0elPSNz80mAKS8
By The Bridge	Logic	Supermarket (Soundtrack)	spotify:track:5vSH6QgQ4WYVf99LASBSXi
Beautiful to Me	Olly Murs	Never Been Better	spotify:track:1JL9e3nm7j7OoocTxOdm2B
Free	Haley Reinhart	Listen Up!	spotify:track:6Rs9TgJibqPUHIrDW5M6AW
I Told You	James Blunt	I Told You	spotify:track:46frPLWZuQlMLyelCLYpL0
Know	NF	Perception	spotify:track:3MFyER5LVCQNaUtipifGD7
Shout Out My Hood (& Styles P)	Dave East, Styles P	Beloved	spotify:track:77fxrretQrQUyzpL8lfe2N
Thank You (ft. Lucy Rose & The RattPack)	Logic, Lucy Rose, The RattPack	YSIV	spotify:track:4ut9fdC5ncgcvCo0KaphNY
She Smiled Sweetly	Joshua Radin	Here, Right Now	spotify:track:2S2Y0ftiqenz6DuKZe1OaI
Cudi Montage	KIDS SEE GHOSTS	KIDS SEE GHOSTS	spotify:track:4kUZvXB3LC3an3HX6h0s17
Club Paradise	Drake	Care Package	spotify:track:6MR5IBSNfDmiwnrlQpVw4w
Hey Lupe	Lupe Fiasco	Chill's Spotlight	spotify:track:5eX3Hy8pyDku26UGknYPrN
Maps	The Fray	Covers	spotify:track:5eTC8BF96uPzKIWObjokmZ
Hope You Got What You Came For	Olly Murs	Never Been Better	spotify:track:25JU2Q7imEsu0PFPRtsfx0
A World to Explore	Joshua Radin	A World to Explore	spotify:track:452pTxYD1v9XpoU02pp0J4
Fun Up Here (feat. Logic)	Mike Posner, Logic	Keep Going	spotify:track:0t2wki0faiwqVkQ0oJ9EVO
Old Friends	Coldplay	Everyday Life	spotify:track:71fbBfMQgUovPGfOBRK2HT
Goodbye	Jason Wade	Paper Cuts	spotify:track:772cb22fV5RYO1wBX3c5oF
Nostalgia	Doe Paoro	Nostalgia	spotify:track:7eA8ZdpZ8MeZuJmAPbEaxN
I Aint Goin (feat. Trouble)	Dave East, Trouble	Karma 2	spotify:track:61hON2a1hRY6V37PjyGzvJ
I Can Only. (feat. Alessia Cara)	JoJo, Alessia Cara	Mad Love. (Deluxe)	spotify:track:6khDguAo8XXW1h0u7xofYk
Running Through Hell	The Head And The Heart	Living Mirage	spotify:track:0xTcz4CIGTvPaBeqVhXxo1
