Rank,Rating,Artist,Number of Songs,Number of Songs Disliked,Number of Songs Unheard,Number of Songs Undecided,Number of Songs Loved,Songs In Queue,Total Songs Reviewed,Remaining Importance,Unheard Importance,Inflation Factor,Lowest Possible Rating,Highest Possible Rating,Lowest Queue Rating,Highest Queue Rating,Highest Possible Ranking,Lowest Possible Ranking,Highest Queue Ranking,Lowest Queue Ranking,Highest Immediate Ranking,Lowest Immediate Ranking,Possible Rankings,Possible Queue Rankings,Possible Immediate Rankings,Range,Queue Range,League,Test Rating
T2126,0.0,Between Kings,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Beulahbelle,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Beverly Glenn-Copeland,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Beyond This,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,BiC Fizzle,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,BiSH,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Biaje,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bianca,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bianca Rhoden,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bibi Bourelly,0,0,7,7,0,0.0,0,0,0,7.0,-7.0,7.0,-0.0,0.0,119,15337,2126,2728,231,15335,15219,603,15105,14.0,0.0,None,
T2126,0.0,Bibio,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bickle,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bickleboy,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bien,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Biffy Clyro,0,0,8,8,0,0.0,0,0,0,8.0,-8.0,8.0,-0.0,0.0,110,15337,2126,2728,199,15335,15228,603,15137,16.0,0.0,None,
T2126,0.0,Big Ali,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Big Black Delta,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Big Boogie,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Bub,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Bz,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Fish,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Flock,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Freedia,0,0,7,7,0,0.0,0,0,0,7.0,-7.0,7.0,-0.0,0.0,119,15337,2126,2728,231,15335,15219,603,15105,14.0,0.0,None,
T2126,0.0,Big Ghost Ltd,0,0,9,9,0,0.0,0,0,0,9.0,-9.0,9.0,-0.0,0.0,100,15337,2126,2728,185,15335,15238,603,15151,18.0,0.0,None,
T2126,0.0,Big Grams,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,Big Havi,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Big Head Science,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big JAM,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Jaz,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Kap,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,Big Kill,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Kuntry King,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Leto,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Pineapple,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Rube,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Big Scarr,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Big Scoob,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Shug,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,Big Soto,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Spartan,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Stat,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big TC,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Thief,0,0,8,8,0,0.0,0,0,0,8.0,-8.0,8.0,-0.0,0.0,110,15337,2126,2728,199,15335,15228,603,15137,16.0,0.0,None,
T2126,0.0,Big Time Rush,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Big Unc Montana,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Big Wild,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,Big Zack,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,BigKayBeezy,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,BigKlit,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,BigWalkDog,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bigga Rankin,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bighead,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Biig Piig,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bill Kahler,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bill Ryder-Jones,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billa Joints,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billard,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,Billie Black,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billie Essco,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,Billie Joe Armstrong,0,0,10,10,0,0.0,0,0,0,10.0,-10.0,10.0,-0.0,0.0,93,15337,2126,2728,172,15336,15245,603,15165,20.0,0.0,None,
T2126,0.0,Billie Marten,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Billionaire Burke,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billy Eichner,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billy Lawrence,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billy Lemos,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billy Lockett,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billy Marchiafava,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billy Porter,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Billy Raffoul,0,0,9,9,0,0.0,0,0,0,9.0,-9.0,9.0,-0.0,0.0,100,15337,2126,2728,185,15335,15238,603,15151,18.0,0.0,None,
T2126,0.0,Billy Strings,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Billy Talent,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Billz Raw,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bilmuri,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,Bino Rideaux,0,0,4,5,0,1.0,0,0,0,5.0,-5.0,5.0,-1.0,1.0,148,15337,802,14008,287,15324,15190,13207,15038,10.0,2.0,None,
T2126,0.0,Biotin Babies,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bipolar Sunshine,0,0,12,12,0,0.0,0,0,0,12.0,-12.0,12.0,-0.0,0.0,75,15337,2126,2728,144,15337,15263,603,15194,24.0,0.0,None,
T2126,0.0,Bird Passengers,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Birdland Avenue,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Birds at Night,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Birds of Bellwoods,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,BirdsFlyStoned,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Birdtalker,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,Bishat,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bishop,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bishop Ivy,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bishop Nehru,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bishu,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bitter's Kiss,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bizarrap,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bizzey,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bizzle,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bizzy Banks,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bizzy Crook,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bjonr,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bjéar,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Björk,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bktherula,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,Blaatina,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blac Youngsta,0,0,12,12,0,0.0,0,0,0,12.0,-12.0,12.0,-0.0,0.0,75,15337,2126,2728,144,15337,15263,603,15194,24.0,0.0,None,
T2126,0.0,Blacc Zacc,0,0,8,8,0,0.0,0,0,0,8.0,-8.0,8.0,-0.0,0.0,110,15337,2126,2728,199,15335,15228,603,15137,16.0,0.0,None,
T2126,0.0,Black Atlass,0,0,4,5,0,1.0,0,0,0,5.0,-5.0,5.0,-1.0,1.0,148,15337,802,14008,287,15324,15190,13207,15038,10.0,2.0,None,
T2126,0.0,Black Caviar,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,Black Dave,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Black Foxxes,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Gold,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Grapefruit,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Honey,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Black Knights of the NorthStar,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Match,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Black Milk,0,0,8,9,0,1.0,0,0,0,9.0,-9.0,9.0,-1.0,1.0,100,15337,802,14008,185,15335,15238,13207,15151,18.0,2.0,None,
T2126,0.0,Black Polish,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Black Pumas,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Rebel Motorcycle Club,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Rob,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Sherif,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Steve,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Black Veil Brides,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blackbird Blackbird,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blackcode,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blackmagic,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blackstreet,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blackway,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bladee,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Blaenavon,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Blaise Railey,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blake,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blake Cross,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blake Mills,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blake Rose,0,0,12,12,0,0.0,0,0,0,12.0,-12.0,12.0,-0.0,0.0,75,15337,2126,2728,144,15337,15263,603,15194,24.0,0.0,None,
T2126,0.0,Blake Ruby,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blake Rules,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Blake Webber,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blake Yung,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blake and Miles,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blakey,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blakk Soul,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Blanca,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blanco White,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Blaqstarr,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blas Cantó,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Bleached,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blegh,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Blended Babies,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Bless,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Blessd,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Blessing,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Blessing Offor,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Bliss n Eso,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
