Rank,Rating,Artist,Number of Songs,Number of Songs Disliked,Number of Songs Unheard,Number of Songs Undecided,Number of Songs Loved,Songs In Queue,Total Songs Reviewed,Remaining Importance,Unheard Importance,Inflation Factor,Lowest Possible Rating,Highest Possible Rating,Lowest Queue Rating,Highest Queue Rating,Highest Possible Ranking,Lowest Possible Ranking,Highest Queue Ranking,Lowest Queue Ranking,Highest Immediate Ranking,Lowest Immediate Ranking,Possible Rankings,Possible Queue Rankings,Possible Immediate Rankings,Range,Queue Range,League,Test Rating
T260,6.0,Oh Wonder,6,0,33,34,0,1.0,6,204,198,5.67,0.9,40.0,5.14,7.0,46,14389,220,312,50,1852,14344,93,1803,39.1,1.86,Northern Premier League Division One East,6.0
T260,6.0,Ol' Dirty Bastard,6,0,40,40,0,0.0,6,240,240,6.67,0.78,46.0,6.0,6.0,40,14396,247,284,45,1874,14357,38,1830,45.22,0.0,Northern Premier League Division One East,6.0
T260,6.0,The Neighbourhood,6,0,41,41,0,0.0,6,246,246,6.83,0.77,47.0,6.0,6.0,39,14396,247,284,45,1874,14358,38,1830,46.23,0.0,Northern Premier League Division One East,6.0
268,5.9,Pell,7,3,43,45,1,2.0,10,265,253,4.5,1.89,50.16,5.08,7.75,33,6727,205,317,42,713,6695,113,672,48.27,2.67,Northern Premier League Division One East,1.82
269,5.84,David Guetta,11,14,94,94,1,0.0,25,548,548,3.76,2.02,93.65,5.84,5.84,14,4543,255,296,17,526,4530,42,510,91.63,0.0,Northern Premier League Division One Midlands,0.07
T270,5.82,Bas,8,3,20,23,0,3.0,11,133,116,2.09,1.88,28.26,4.57,8.64,51,6727,187,338,67,713,6677,152,647,26.38,4.07,Northern Premier League Division One Midlands,0.65
T270,5.82,Black Eyed Peas,8,3,5,7,0,2.0,11,40,29,0.64,3.56,12.5,4.92,7.69,72,3341,206,331,138,372,3270,126,235,8.94,2.77,Northern Premier League Division One Midlands,0.65
T272,5.79,Bebe Rexha,9,5,41,41,0,0.0,14,237,237,2.93,1.47,45.45,5.79,5.79,40,6754,258,298,45,753,6715,41,709,43.98,0.0,Northern Premier League Division One Midlands,0.28
T272,5.79,Kesha,9,5,15,15,0,0.0,14,86,86,1.07,2.79,19.86,5.79,5.79,58,4442,258,298,94,469,4385,41,376,17.07,0.0,Northern Premier League Division One Midlands,0.28
274,5.76,Meek Mill,12,13,46,47,0,1.0,25,270,264,1.88,2.0,48.35,5.54,6.5,35,4544,234,300,42,526,4510,67,485,46.35,0.96,Northern Premier League Division One Midlands,0.04
275,5.5,Cardi B,11,11,15,15,0,0.0,22,82,82,0.68,3.27,18.27,5.5,5.5,59,3342,264,301,97,380,3284,38,284,15.0,0.0,Northern Premier League Division One Midlands,0.05
T276,5.44,Beast Coast,7,2,0,5,0,5.0,9,27,0,0.56,3.5,10.29,3.5,10.29,92,3341,164,415,167,374,3250,252,208,6.79,6.79,Northern Premier League Division One Midlands,0.96
T276,5.44,Florence + The Machine,7,2,19,19,0,0.0,9,103,103,2.11,1.75,24.14,5.44,5.44,54,6747,265,302,78,726,6694,38,649,22.39,0.0,Northern Premier League Division One Midlands,0.96
T276,5.44,Lady A,7,2,15,15,0,0.0,9,81,81,1.67,2.04,20.17,5.44,5.44,58,4543,265,302,94,526,4486,38,433,18.13,0.0,Northern Premier League Division One Midlands,0.96
T276,5.44,The Underachievers,7,2,3,5,0,2.0,9,27,16,0.56,3.5,10.29,4.45,7.36,92,3341,209,350,167,374,3250,142,208,6.79,2.91,Northern Premier League Division One Midlands,0.96
T280,5.4,Busta Rhymes,9,6,48,49,0,1.0,15,264,259,3.27,1.27,52.56,5.06,6.25,33,6876,240,318,41,825,6844,79,785,51.29,1.19,Northern Premier League Division One Midlands,0.16
T280,5.4,Jason Derulo,9,6,26,26,0,0.0,15,140,140,1.73,1.98,29.88,5.4,5.4,50,6727,268,310,63,713,6678,43,651,27.9,0.0,Northern Premier League Division One Midlands,0.16
T282,5.14,Adam Levine,6,1,1,1,0,0.0,7,5,5,0.14,4.5,6.12,5.14,5.14,132,2639,272,312,256,313,2508,41,58,1.62,0.0,Northern Premier League Division One Midlands,1.78
T282,5.14,Bazzi,6,1,19,20,0,1.0,7,102,97,2.86,1.33,25.04,4.5,6.12,52,6755,245,344,75,756,6704,100,682,23.71,1.62,Northern Premier League Division One Midlands,1.78
T282,5.14,Enrique Iglesias,6,1,12,13,0,1.0,7,66,61,1.86,1.8,18.05,4.5,6.12,59,6728,245,344,97,713,6670,100,617,16.25,1.62,Northern Premier League Division One Midlands,1.78
T282,5.14,John Mayer,6,1,27,27,0,0.0,7,138,138,3.86,1.06,32.03,5.14,5.14,50,6877,272,312,61,830,6828,41,770,30.97,0.0,Northern Premier League Division One Midlands,1.78
286,5.12,Ty Dolla $ign,13,20,130,134,0,4.0,33,686,665,4.06,1.01,129.4,4.57,7.81,5,6877,205,338,5,830,6873,134,826,128.39,3.24,Northern Premier League Division One Midlands,0.01
T287,5.0,Cody Simpson,4,0,24,24,1,0.0,4,120,120,6.0,1.57,29.0,5.0,5.0,51,6747,278,319,65,730,6697,42,666,27.43,0.0,Northern Premier League Division One Midlands,23.25
T287,5.0,Dizzy Wright,5,0,7,7,0,0.0,5,35,35,1.4,2.08,12.0,5.0,5.0,75,4543,278,319,144,524,4469,42,381,9.92,0.0,Northern Premier League Division One Midlands,5.0
T287,5.0,Guy Sebastian,4,0,12,12,1,0.0,4,60,60,3.0,2.0,17.0,5.0,5.0,59,4544,278,319,104,526,4486,42,423,15.0,0.0,Northern Premier League Division One West,23.25
T287,5.0,Judah & the Lion,4,0,45,47,1,2.0,4,235,225,11.75,1.31,52.0,3.67,7.0,33,6875,220,403,41,821,6843,184,781,50.69,3.33,Northern Premier League Division One West,23.25
T287,5.0,Kaelin Ellis,5,0,1,1,0,0.0,5,5,5,0.2,4.17,6.0,5.0,5.0,133,2657,278,319,260,326,2525,42,67,1.83,0.0,Northern Premier League Division One West,5.0
T287,5.0,Kenny G,5,0,1,2,0,1.0,5,10,5,0.4,3.57,7.0,4.17,6.0,119,3331,247,361,231,366,3213,115,136,3.43,1.83,Northern Premier League Division One West,5.0
T287,5.0,Madeon,5,0,25,27,0,2.0,5,135,125,5.4,0.78,32.0,3.57,7.0,50,14396,220,405,61,1874,14347,186,1814,31.22,3.43,Northern Premier League Division One West,5.0
T287,5.0,Matt Nathanson,4,0,13,13,1,0.0,4,65,65,3.25,1.94,18.0,5.0,5.0,59,6727,278,319,98,713,6669,42,616,16.06,0.0,Northern Premier League Division One West,23.25
T287,5.0,Mr. Probz,4,0,8,8,1,0.0,4,40,40,2.0,2.33,13.0,5.0,5.0,70,4462,278,319,137,486,4393,42,350,10.67,0.0,Northern Premier League Division One West,23.25
T287,5.0,Other People's Heartache,5,0,0,1,0,1.0,5,5,0,0.2,4.17,6.0,4.17,6.0,133,2657,247,361,260,326,2525,115,67,1.83,1.83,Northern Premier League Division One West,5.0
T287,5.0,Rag'n'Bone Man,5,0,7,8,0,1.0,5,40,35,1.6,1.92,13.0,4.17,6.0,70,6727,247,361,137,713,6658,115,577,11.08,1.83,Northern Premier League Division One West,5.0
T287,5.0,Rascal Flatts,4,0,5,5,1,0.0,4,25,25,1.25,2.78,10.0,5.0,5.0,93,4443,278,319,172,469,4351,42,298,7.22,0.0,Northern Premier League Division One West,23.25
T287,5.0,The Game,8,8,42,44,1,2.0,16,220,210,2.75,2.07,46.07,4.56,6.56,40,4543,233,343,45,526,4504,111,482,44.0,2.0,Northern Premier League Division One West,0.2
T287,5.0,WESTSIDE BOOGIE,5,0,12,13,0,1.0,5,65,60,2.6,1.39,18.0,4.17,6.0,59,6754,247,361,98,756,6696,115,659,16.61,1.83,Northern Premier League Division One West,5.0
