Artist,Number of Songs,Rank
Harry Hudson,8,T247
Jack Harlow,8,T247
Jason Mraz,8,T247
Justin Timberlake,8,T247
Lil Uzi Vert,8,T247
Masta Killa,8,T247
Mr. Porter,8,T247
P!nk,8,T247
Pitbull,8,T247
Rams,8,T247
Statik Selektah,8,T247
Styles P,8,T247
The Game,8,T247
The-Dream,8,T247
Travis Barker,8,T247
Troye Sivan,8,T247
Wild Rivers,8,T247
YG,8,T247
Zac Brown Band,8,T247
Action Bronson,7,T278
Adam Lambert,7,T278
Beast Coast,7,T278
Bob Dylan,7,T278
CHVRCHES,7,T278
CeeLo Green,7,T278
Daughtry,7,T278
Elton John,7,T278
Florence + The Machine,7,T278
GZA,7,T278
Hillsong Young & Free,7,T278
Joe Budden,7,T278
Julien Baker,7,T278
Kodak Black,7,T278
Labrinth,7,T278
Lady A,7,T278
Lucy Dacus,7,T278
Ludacris,7,T278
Madonna,7,T278
Migos,7,T278
Natasha Bedingfield,7,T278
Ne-Yo,7,T278
Okieriete Onaodowan,7,T278
PARTYNEXTDOOR,7,T278
Pell,7,T278
Raury,7,T278
Roddy Ricch,7,T278
SZA,7,T278
Slaughterhouse,7,T278
Steve Aoki,7,T278
Tech N9ne,7,T278
The Underachievers,7,T278
The Wombats,7,T278
U-God,7,T278
50 Cent,6,T312
Adam Levine,6,T312
Bazzi,6,T312
CJ Fly,6,T312
Cappadonna,6,T312
Cassadee Pope,6,T312
Conrad Sewell,6,T312
Doja Cat,6,T312
Enrique Iglesias,6,T312
Five For Fighting,6,T312
Flo Rida,6,T312
Gavin DeGraw,6,T312
John Mayer,6,T312
Juicy J,6,T312
Lecrae,6,T312
Mike Posner,6,T312
Mitski,6,T312
Nate Ruess,6,T312
Oh Wonder,6,T312
Ol' Dirty Bastard,6,T312
Patrick Stump,6,T312
Phillipa Soo,6,T312
Rob Thomas,6,T312
Sabrina Carpenter,6,T312
Stormzy,6,T312
Tee Grizzley,6,T312
The Neighbourhood,6,T312
Tiësto,6,T312
Usher,6,T312
A Boogie Wit da Hoodie,5,T341
Andy Grammer,5,T341
Anthony Ramos,5,T341
BTS,5,T341
Becky G,5,T341
Bon Iver,5,T341
Craig David,5,T341
Dizzy Wright,5,T341
E-40,5,T341
Iggy Azalea,5,T341
J Balvin,5,T341
Jeezy,5,T341
Kaelin Ellis,5,T341
Kenny G,5,T341
Lindsey Stirling,5,T341
Luis Fonsi,5,T341
Madeon,5,T341
Megan Thee Stallion,5,T341
MisterWives,5,T341
Muse,5,T341
Naughty Boy,5,T341
Nico & Vinz,5,T341
Of Monsters and Men,5,T341
Olly Murs,5,T341
Other People's Heartache,5,T341
Pharrell Williams,5,T341
Pop Smoke,5,T341
Rag'n'Bone Man,5,T341
Rixton,5,T341
Rudimental,5,T341
Sarah Green,5,T341
Seeb,5,T341
Tori Kelly,5,T341
Trae Tha Truth,5,T341
WESTSIDE BOOGIE,5,T341
will.i.am,5,T341
Alec Benjamin,4,T377
Alle Farben,4,T377
Avril Lavigne,4,T377
BJ The Chicago Kid,4,T377
Baaba Maal,4,T377
Bad Meets Evil,4,T377
Bilal,4,T377
Billy Currington,4,T377
Black Hippy,4,T377
Capital Steez,4,T377
Cash Cash,4,T377
Cody Simpson,4,T377
CyHi,4,T377
D12,4,T377
Daddy Yankee,4,T377
Danny Brown,4,T377
Dreamville,4,T377
Elle King,4,T377
Fabolous,4,T377
Felix Jaehn,4,T377
Guy Sebastian,4,T377
H.E.R.,4,T377
Hailee Steinfeld,4,T377
Hunter Hayes,4,T377
Isaiah Rashad,4,T377
Jamie N Commons,4,T377
Jason Aldean,4,T377
Jessie J,4,T377
Jonas Brothers,4,T377
Judah & the Lion,4,T377
Juice WRLD,4,T377
KONGOS,4,T377
Kane Brown,4,T377
Kid Quill,4,T377
Kuniva,4,T377
Lance Skiiiwalker,4,T377
MAX,4,T377
MOTHICA,4,T377
Major Lazer,4,T377
Mary Lambert,4,T377
Matt Nathanson,4,T377
Metro Boomin,4,T377
Michael Bublé,4,T377
Mr. Probz,4,T377
Nate Dogg,4,T377
Owl City,4,T377
Rascal Flatts,4,T377
Renée Elise Goldsberry,4,T377
Rhythms Del Mundo,4,T377
Rob Moose,4,T377
Robert Glasper,4,T377
Skizzy Mars,4,T377
Skrillex,4,T377
Swae Lee,4,T377
T'nah Apex,4,T377
T-Pain,4,T377
Takeoff,4,T377
Taylor Bickett,4,T377
The Kid LAROI,4,T377
The Roots,4,T377
The Very Best,4,T377
The Wanted,4,T377
Time For Three,4,T377
Timeflies,4,T377
Tory Lanez,4,T377
Tove Lo,4,T377
Tyler Joseph,4,T377
Virgil Abloh,4,T377
Whittaker,4,T377
YUNGBLUD,4,T377
Years & Years,4,T377
Yo Gotti,4,T377
benny blanco,4,T377
3 Doors Down,3,T450
AJR,3,T450
AWOLNATION,3,T450
Andra Day,3,T450
