Songs I Love	Artists	URI
Chasing The Sun	Sara Bareilles	The Blessed Unrest	spotify:track:6lzlRAp5VqLLF78PwnfHjq
Transmission	Zedd, Logic, X Ambassadors	True Colors	spotify:track:1Bh8jtOXIBIRUUghbrwUTX
What Am I Becoming?	POP ETC	Souvenir	spotify:track:0aTsRTMdA1vUNPE87i3sNE
Wherever I Go	OneRepublic	Wherever I Go	spotify:track:0KdwmtG44yIDpyie4b0jCn
I Am Not a Robot	MARINA	The Family Jewels (Deluxe)	spotify:track:0f8AJ9aUHn4uCxHRs43gv6
Drive	Halsey	BADLANDS	spotify:track:5F5hhx63QBhlTpM71bvRvY
Shine A Light	BANNERS	BANNERS	spotify:track:2nZco160YsPJdiTPq396aq
Buzzcut Season	Lorde	Pure Heroine (Extended)	spotify:track:3ShTaJBCOclymogQNzPde7
Something to Believe In	Young the Giant	Something to Believe In	spotify:track:4EYvEheGn4usgCp0sxYJhD
You Should Be Here	Cole Swindell	You Should Be Here	spotify:track:63thx7OANplv4I4BQsanHk
I'm Good	The Mowgli's	Kids In Love	spotify:track:5KQDGl3vAkNGyfvSbaW89E
Make The Money	Macklemore & Ryan Lewis	The Heist	spotify:track:6tCsLAvknuypVnjq2fJwlB
Glory And Gore	Lorde	Pure Heroine	spotify:track:60jI0JgMLLj1VggHJVhtRs
20/20 (feat. Logic)	Lungz, Logic	Inebriation	spotify:track:0PqUxCPmkCGs4RR33t9g4U
Half Light	BANNERS	Half Light	spotify:track:1tYOB844iD7HxHvPtwDPNu
Lies	MARINA	Electra Heart (Deluxe)	spotify:track:2k4yzd3YejgP3kqOo0FOnS
Ditmas	Mumford & Sons	Wilder Mind	spotify:track:3e6s8Z4MRSNgvNhVvpuUiw
iRobot	Jon Bellion	The Human Condition	spotify:track:453QwgDIG95NmmLqSxnPsR
Guillotine	Jon Bellion, Travis Mendes	The Human Condition	spotify:track:2FK1qmw8XNBqUe5CcgTVnE
Somebody's Love - Single Version	Passenger	Somebody's Love	spotify:track:10D6VJLgBNPJLDCGJH8NKM
Somebody's Love	Passenger	Somebody's Love	spotify:track:5BcFYp0b986w9L50ItRV9q
Heathens	Twenty One Pilots	Heathens	spotify:track:6i0V12jOa3mr6uu4WYhUBr
Woke The F*ck Up	Jon Bellion	Woke The F*ck Up	spotify:track:1OR2QkSykQUPvdSu5ALd8D
There's Alot Going On	VIC MENSA	There's Alot Going On	spotify:track:5XSQ9gBCM5iableEqmzUIC
So Appalled	Kanye West, JAY-Z, Pusha T, CyHi The Prynce, Swizz Beatz, RZA	My Beautiful Dark Twisted Fantasy	spotify:track:6K07Ahf6V7CAQn0ikrOztl
Anna Sun	WALK THE MOON	Walk The Moon	spotify:track:3e0yTP5trHBBVvV32jwXqF
Cough Syrup	Young the Giant	Young The Giant (Special Edition)	spotify:track:1UqhkbzB1kuFwt2iy4h29Q
Say When	The Fray	The Fray	spotify:track:3lqrCvTI9YRt62FR5JSTom
Blood Stutter	Handsome Ghost	Blood Stutter - Single	spotify:track:55bwpavHoYVUv55RQ6kzhi
Blood Stutter - Color Study Remix	Handsome Ghost, Pell, Color Study	Blood Stutter (Color Study Remix)	spotify:track:6QCq4e1MsraVgDh9CqpNg4
FML	Kanye West	The Life Of Pablo	spotify:track:34kRg5EbCB3r20QXZbnGeY
Color - Remastered	Finish Ticket	When Night Becomes Day	spotify:track:2HNnYRJIlsM1JHn1Nq8qU7
Patient Love - Acoustic	Passenger	All the Little Lights	spotify:track:78AZkP0MwxLXU1bR5wEOc0
Brother (feat. Gavin DeGraw)	NEEDTOBREATHE, Gavin DeGraw	Brother	spotify:track:62M9yafZsSRzlsphzeJPGo
Fake It	Bastille	Fake It	spotify:track:6fWhk0vHoM2p63CaV3nF5h
Glow	Ella Henderson	Chapter One	spotify:track:4T4pVyVG5bw9Y2XWOSfucb
Message Man	Twenty One Pilots	Blurryface	spotify:track:4Oyl6oYSNeeZZP0OAxPVaU
All That I'm Asking For	Lifehouse	Smoke & Mirrors (Deluxe)	spotify:track:1qBfbEZHtLldk1BvlubLBw
Figure it Out (feat. Kanye West & Nas)	French Montana, Kanye West, Nas	Figure it Out (feat. Kanye West & Nas)	spotify:track:0vgtBFdPTkZwQ2gmFu7Dra
Repeat	Young the Giant	Home of the Strange	spotify:track:7w5Ww1cW8U9v8Q3g4qLpVD
Scars To Your Beautiful	Alessia Cara	Know-It-All (Deluxe)	spotify:track:0prNGof3XqfTvNDxHonvdK
Singing Low	The Fray	Singing Low	spotify:track:3EyxoXTZuR5kBZcJDRC8wm
Everything	Passenger	Young as the Morning Old as the Sea (Deluxe Version)	spotify:track:3n4CsVh7NuZq6DfOfUKoen
Choke	OneRepublic	Oh My My	spotify:track:5xtliWYBVT4cKo9BtBn43B
Better	OneRepublic	Oh My My	spotify:track:5oLP3yTZ7oQlRJ8bSCWvzN
Time Capsule - Radio Edit	Little Simz, Jakwob, Caitlyn Scarlett	Time Capsule	spotify:track:3ytS0TJyuw33rZgvM7LhD1
Lift Me Up	OneRepublic	Oh My My	spotify:track:0x7oCog91UWqiYJQEee3uK
Diamond Heart	Lady Gaga	Joanne (Deluxe)	spotify:track:45CPhDilfgK14IE7LbNvPh
Born	OneRepublic	Oh My My	spotify:track:797fEwjPjyNhkoQCHDkzne
Shattered [Turn The Car Around]	O.A.R.	All Sides	spotify:track:32oh9wNU89gmX6CohLTdeG
The Good In Me	Jon Bellion	The Human Condition	spotify:track:0XA9B3KXLmdgaQ2KcIJa3h
Follow You Down	Kelvin Jones	Stop The Moment (Deluxe)	spotify:track:4kRlUYw3zYGyJOAMyGwkRe
Numb	David Archuleta	Numb	spotify:track:3vfxnkgMIvFFrp2WMzNvwu
Wait for It	Leslie Odom Jr., Original Broadway Cast of Hamilton	Hamilton (Original Broadway Cast Recording)	spotify:track:7EqpEBPOohgk7NnKvBGFWo
Numb	MARINA	The Family Jewels (Deluxe)	spotify:track:7o0mAugA9fQfmZsqpcrO6U
Falling Stars	David Archuleta	The Other Side of Down	spotify:track:2BckVu3lbLIckDVqYjmwF8
As You Wake Up	Kelvin Jones	Stop The Moment (Deluxe)	spotify:track:4rUghS8EoHUjS2N0PsaDQ5
Let's Hurt Tonight	OneRepublic	Oh My My	spotify:track:05sCp83gcMm1iecYydKJS3
Going To Mars	Judah & the Lion	Going To Mars	spotify:track:3n6d51lFJx8v6GWvkfBqvK
Green Light	Lorde	Green Light	spotify:track:3FQ26GroLnhQEja48FKYqT
All We Ever Knew	The Head And The Heart	All We Ever Knew	spotify:track:5wrGviDHdJ2MYgDRow14cu
Pieces	Rob Thomas	The Great Unknown	spotify:track:2LBhwMS0iYId8BWfNIiOuG
Heaven	OneRepublic	Oh My My	spotify:track:1lFHaHvZeLf6XrOqX6iLlS
Girls	MARINA	The Family Jewels (Deluxe)	spotify:track:3a7gsCzUONAukMK5nRbqQw
Restless	Cold War Kids	Restless	spotify:track:3UQ3taRMUgjAhp0sQ8TYNj
Dark Paradise	Lana Del Rey	Born To Die - The Paradise Edition	spotify:track:2Y115i0IhELJhyyftvoSFt
Fifteen	Taylor Swift	Fearless	spotify:track:4t0OI7XrODjSkAu3bTPmWj
You Belong With Me	Taylor Swift	Fearless	spotify:track:3GCL1PydwsLodcpv0Ll1ch
You're Not Sorry	Taylor Swift	Fearless	spotify:track:0HmCuN0Z3OX1Qrz43FLOPL
Love Story	Taylor Swift	Fearless	spotify:track:1vrd6UOGamcKNGnSHJQlSt
Back To December	Taylor Swift	Speak Now	spotify:track:3DrjZArsPsoqbLzUZZV1Id
Sparks Fly	Taylor Swift	Speak Now	spotify:track:6d9IiDcFxtFVIvt9pCqyGH
Haunted	Taylor Swift	Speak Now	spotify:track:28M2gifMU282QBM3fKajIS
Sober	Lorde	Sober	spotify:track:54m8lblSFYP3EQ84MBu6vq
Sober II (Melodrama)	Lorde	Melodrama	spotify:track:54ucfuN596MU25jQD3KjCL
Rockin' Chairs	Brantley Gilbert	Rockin' Chairs	spotify:track:53qfgayrFK7ITUXcSAFhUW
Rich Love (with Seeb)	OneRepublic, Seeb	Rich Love	spotify:track:7dOeiXeTSfA1ixaYmQcWu7
Silence	Marshmello, Khalid	Silence	spotify:track:7vGuf3Y35N4wmASOKLUVVU
Money Power Glory	Lana Del Rey	Ultraviolence (Deluxe)	spotify:track:7Ms58r8G6Y0r1XLtpwoGxN
Love The Way You Lie (Part II) - Pt. 2	Rihanna, Eminem	Loud	spotify:track:1TQ4mYHM62h6HvYa9AZRMT
Into It	Camila Cabello	Camila	spotify:track:2gxqozTaq2NYylvS8jd57G
Homesick	Dua Lipa	Dua Lipa (Deluxe)	spotify:track:5E5MqaS6eOsbaJibl3YeMZ
Seeing Blind	Niall Horan, Maren Morris	Flicker (Deluxe)	spotify:track:65wnZsZLKJimfK1cTFOfa1
Get Out Of Your Own Way	U2	Songs Of Experience (Deluxe Edition)	spotify:track:4nXYb4yc3c1a3NWqdpDrnd
End Game	Taylor Swift, Ed Sheeran, Future	reputation	spotify:track:2x0WlnmfG39ZuDmstl9xfX
Too Much To Ask	Niall Horan	Flicker (Deluxe)	spotify:track:39jXnbACjiaiTwwhsr5sY5
Writer In The Dark	Lorde	Melodrama	spotify:track:193Dm5SqYy3hTSbuzxbwKc
Slide (feat. Frank Ocean & Migos)	Calvin Harris, Frank Ocean, Migos	Slide (feat. Frank Ocean & Migos)	spotify:track:6gpcs5eMhJwax4mIfKDYQk
Seasons (feat. Khalid)	6LACK, Khalid	East Atlanta Love Letter	spotify:track:1AROE0XcC4ySCxXF65mutZ
Mural Jr.	Lupe Fiasco	DROGAS WAVE	spotify:track:2IrSemsc1jSOCPnbXGrU5u
Superposition	Young the Giant	Mirror Master	spotify:track:67YPjbcxUypwNOwYBZquq1
Orange Trees	MARINA	Orange Trees	spotify:track:5KgjRZKraoTkHAUONmVFo1
Guiding Light	Mumford & Sons	Delta	spotify:track:63J2iqaDDp92P1eZgvuELp
True	MARINA	LOVE	spotify:track:18LVTbRPKBFyuXI26lAITe
Soft to Be Strong	MARINA	Love + Fear	spotify:track:7djURPDp051cljWov6NyPy
Life Is Strange	MARINA	Love + Fear	spotify:track:4ZTX8P6yC1dv6CY7b0Ql3g
high & dry	mxmtoon	the masquerade (high & dry / prom dress)	spotify:track:7o96u1spqcNwctcM43jrUx
Eraser	Ed Sheeran	÷ (Deluxe)	spotify:track:7oolFzHipTMg2nL7shhdz2
Someday - Acoustic	OneRepublic	Human (Deluxe)	spotify:track:5CJQMw0y824OWaQJSlszY5
betty	Taylor Swift	folklore (deluxe version)	spotify:track:7w0hHA41usBpo8isfAtl1g
‘tis the damn season	Taylor Swift	evermore	spotify:track:4GBkffrtA51p17JH35irGA

